"","resultstemp","V2","V3","DATE_RETRIEVED"
"1","228","Las_Vegas_Tuesday_20170328","1",2017-03-28 19:14:52
"2","288","Las_Vegas_Tuesday_20170404","2",2017-03-28 19:14:52
"3","296","Las_Vegas_Tuesday_20170411","3",2017-03-28 19:14:52
"4","299","Las_Vegas_Tuesday_20170418","4",2017-03-28 19:14:52
"5","528","New_York_City_Tuesday_20170328","1",2017-03-28 19:14:52
"6","641","New_York_City_Tuesday_20170404","2",2017-03-28 19:14:52
"7","616","New_York_City_Tuesday_20170411","3",2017-03-28 19:14:52
"8","220","Washington_DC_Tuesday_20170328","1",2017-03-28 19:14:52
"9","137","Washington_DC_Tuesday_20170404","2",2017-03-28 19:14:52
"10","406","Washington_DC_Tuesday_20170411","3",2017-03-28 19:14:52
"11","455","Washington_DC_Tuesday_20170418","4",2017-03-28 19:14:52
"12","942","London_Tuesday_20170328","1",2017-03-28 19:14:52
"13","1264","London_Tuesday_20170404","2",2017-03-28 19:14:52
"14","1280","London_Tuesday_20170411","3",2017-03-28 19:14:52
"15","1491","London_Tuesday_20170418","4",2017-03-28 19:14:52
"16","656","Paris_Tuesday_20170328","1",2017-03-28 19:14:52
"17","2090","Paris_Tuesday_20170404","2",2017-03-28 19:14:52
"18","2042","Paris_Tuesday_20170411","3",2017-03-28 19:14:52
"19","2146","Paris_Tuesday_20170418","4",2017-03-28 19:14:52
"20","225","Berlin_Tuesday_20170328","1",2017-03-28 19:14:52
"21","638","Berlin_Tuesday_20170404","2",2017-03-28 19:14:52
"22","675","Berlin_Tuesday_20170411","3",2017-03-28 19:14:52
"23","719","Berlin_Tuesday_20170418","4",2017-03-28 19:14:52
"24","346","Sydney_Tuesday_20170404","2",2017-03-28 19:14:52
"25","413","Sydney_Tuesday_20170411","3",2017-03-28 19:14:52
"26","439","Sydney_Tuesday_20170418","4",2017-03-28 19:14:52
"27","647","New_York_City_Tuesday_20170418","4",2017-03-28 19:14:52
"28","240","Las_Vegas_Saturday_20170401","1",2017-03-28 19:14:52
"29","228","Las_Vegas_Saturday_20170408","2",2017-03-28 19:14:52
"30","280","Las_Vegas_Saturday_20170415","3",2017-03-28 19:14:52
"31","220","Las_Vegas_Saturday_20170422","4",2017-03-28 19:14:52
"32","615","New_York_City_Saturday_20170401","1",2017-03-28 19:14:52
"33","511","New_York_City_Saturday_20170408","2",2017-03-28 19:14:52
"34","577","New_York_City_Saturday_20170415","3",2017-03-28 19:14:52
"35","582","New_York_City_Saturday_20170422","4",2017-03-28 19:14:52
"36","352","Washington_DC_Saturday_20170401","1",2017-03-28 19:14:52
"37","458","Washington_DC_Saturday_20170408","2",2017-03-28 19:14:52
"38","481","Washington_DC_Saturday_20170415","3",2017-03-28 19:14:52
"39","423","Washington_DC_Saturday_20170422","4",2017-03-28 19:14:52
"40","1093","London_Saturday_20170401","1",2017-03-28 19:14:52
"41","1004","London_Saturday_20170408","2",2017-03-28 19:14:52
"42","951","London_Saturday_20170415","3",2017-03-28 19:14:52
"43","800","London_Saturday_20170422","4",2017-03-28 19:14:52
"44","1992","Paris_Saturday_20170401","1",2017-03-28 19:14:52
"45","1803","Paris_Saturday_20170408","2",2017-03-28 19:14:52
"46","1791","Paris_Saturday_20170415","3",2017-03-28 19:14:52
"47","2071","Paris_Saturday_20170422","4",2017-03-28 19:14:52
"48","514","Berlin_Saturday_20170401","1",2017-03-28 19:14:52
"49","575","Berlin_Saturday_20170408","2",2017-03-28 19:14:52
"50","369","Berlin_Saturday_20170415","3",2017-03-28 19:14:52
"51","600","Berlin_Saturday_20170422","4",2017-03-28 19:14:52
"52","251","Sydney_Saturday_20170401","1",2017-03-28 19:14:52
"53","289","Sydney_Saturday_20170408","2",2017-03-28 19:14:52
"54","308","Sydney_Saturday_20170415","3",2017-03-28 19:14:52
"55","377","Sydney_Saturday_20170422","4",2017-03-28 19:14:52
