"","resultstemp","V2","V3","DATE_RETRIEVED"
"1","283","Las_Vegas_Tuesday_20170718","1",2017-07-17 08:40:58
"2","291","Las_Vegas_Tuesday_20170725","2",2017-07-17 08:40:58
"3","293","Las_Vegas_Tuesday_20170801","3",2017-07-17 08:40:58
"4","292","Las_Vegas_Tuesday_20170808","4",2017-07-17 08:40:58
"5","359","New_York_City_Tuesday_20170718","1",2017-07-17 08:40:58
"6","641","New_York_City_Tuesday_20170725","2",2017-07-17 08:40:58
"7","659","New_York_City_Tuesday_20170801","3",2017-07-17 08:40:58
"8","670","New_York_City_Tuesday_20170808","4",2017-07-17 08:40:58
"9","195","Washington_DC_Tuesday_20170718","1",2017-07-17 08:40:58
"10","411","Washington_DC_Tuesday_20170725","2",2017-07-17 08:40:58
"11","504","Washington_DC_Tuesday_20170801","3",2017-07-17 08:40:58
"12","491","Washington_DC_Tuesday_20170808","4",2017-07-17 08:40:58
"13","1094","London_Tuesday_20170718","1",2017-07-17 08:40:58
"14","1449","London_Tuesday_20170725","2",2017-07-17 08:40:58
"15","1553","London_Tuesday_20170801","3",2017-07-17 08:40:58
"16","1475","London_Tuesday_20170808","4",2017-07-17 08:40:58
"17","1539","Paris_Tuesday_20170718","1",2017-07-17 08:40:58
"18","1909","Paris_Tuesday_20170725","2",2017-07-17 08:40:58
"19","2137","Paris_Tuesday_20170801","3",2017-07-17 08:40:58
"20","2094","Paris_Tuesday_20170808","4",2017-07-17 08:40:58
"21","470","Berlin_Tuesday_20170718","1",2017-07-17 08:40:58
"22","635","Berlin_Tuesday_20170725","2",2017-07-17 08:40:58
"23","738","Berlin_Tuesday_20170801","3",2017-07-17 08:40:58
"24","722","Berlin_Tuesday_20170808","4",2017-07-17 08:40:58
"25","336","Sydney_Tuesday_20170718","1",2017-07-17 08:40:58
"26","440","Sydney_Tuesday_20170725","2",2017-07-17 08:40:58
"27","469","Sydney_Tuesday_20170801","3",2017-07-17 08:40:58
"28","480","Sydney_Tuesday_20170808","4",2017-07-17 08:40:58
"29","244","Las_Vegas_Saturday_20170722","1",2017-07-17 08:40:58
"30","93","Las_Vegas_Saturday_20170729","2",2017-07-17 08:40:58
"31","260","Las_Vegas_Saturday_20170805","3",2017-07-17 08:40:58
"32","270","Las_Vegas_Saturday_20170812","4",2017-07-17 08:40:58
"33","596","New_York_City_Saturday_20170722","1",2017-07-17 08:40:58
"34","534","New_York_City_Saturday_20170729","2",2017-07-17 08:40:58
"35","629","New_York_City_Saturday_20170805","3",2017-07-17 08:40:58
"36","631","New_York_City_Saturday_20170812","4",2017-07-17 08:40:58
"37","490","Washington_DC_Saturday_20170722","1",2017-07-17 08:40:58
"38","512","Washington_DC_Saturday_20170729","2",2017-07-17 08:40:58
"39","490","Washington_DC_Saturday_20170805","3",2017-07-17 08:40:58
"40","478","Washington_DC_Saturday_20170812","4",2017-07-17 08:40:58
"41","1230","London_Saturday_20170722","1",2017-07-17 08:40:58
"42","1029","London_Saturday_20170729","2",2017-07-17 08:40:58
"43","1094","London_Saturday_20170805","3",2017-07-17 08:40:58
"44","1184","London_Saturday_20170812","4",2017-07-17 08:40:58
"45","1849","Paris_Saturday_20170722","1",2017-07-17 08:40:58
"46","2085","Paris_Saturday_20170729","2",2017-07-17 08:40:58
"47","2052","Paris_Saturday_20170805","3",2017-07-17 08:40:58
"48","2058","Paris_Saturday_20170812","4",2017-07-17 08:40:58
"49","507","Berlin_Saturday_20170722","1",2017-07-17 08:40:58
"50","515","Berlin_Saturday_20170729","2",2017-07-17 08:40:58
"51","574","Berlin_Saturday_20170805","3",2017-07-17 08:40:58
"52","545","Berlin_Saturday_20170812","4",2017-07-17 08:40:58
"53","373","Sydney_Saturday_20170722","1",2017-07-17 08:40:58
"54","395","Sydney_Saturday_20170729","2",2017-07-17 08:40:58
"55","388","Sydney_Saturday_20170805","3",2017-07-17 08:40:58
"56","327","Sydney_Saturday_20170812","4",2017-07-17 08:40:58
