"","resultstemp","V2","V3","DATE_RETRIEVED"
"1","289","Las_Vegas_Tuesday_20170404","1",2017-03-30 08:12:16
"2","291","Las_Vegas_Tuesday_20170411","2",2017-03-30 08:12:16
"3","295","Las_Vegas_Tuesday_20170418","3",2017-03-30 08:12:16
"4","257","Las_Vegas_Tuesday_20170425","4",2017-03-30 08:12:16
"5","612","New_York_City_Tuesday_20170411","2",2017-03-30 08:12:16
"6","642","New_York_City_Tuesday_20170418","3",2017-03-30 08:12:16
"7","660","New_York_City_Tuesday_20170425","4",2017-03-30 08:12:16
"8","130","Washington_DC_Tuesday_20170404","1",2017-03-30 08:12:16
"9","397","Washington_DC_Tuesday_20170411","2",2017-03-30 08:12:16
"10","452","Washington_DC_Tuesday_20170418","3",2017-03-30 08:12:16
"11","407","Washington_DC_Tuesday_20170425","4",2017-03-30 08:12:16
"12","1236","London_Tuesday_20170404","1",2017-03-30 08:12:16
"13","1292","London_Tuesday_20170411","2",2017-03-30 08:12:16
"14","1521","London_Tuesday_20170418","3",2017-03-30 08:12:16
"15","1453","London_Tuesday_20170425","4",2017-03-30 08:12:16
"16","2046","Paris_Tuesday_20170404","1",2017-03-30 08:12:16
"17","2029","Paris_Tuesday_20170411","2",2017-03-30 08:12:16
"18","2143","Paris_Tuesday_20170418","3",2017-03-30 08:12:16
"19","2121","Paris_Tuesday_20170425","4",2017-03-30 08:12:16
"20","564","Berlin_Tuesday_20170404","1",2017-03-30 08:12:16
"21","678","Berlin_Tuesday_20170411","2",2017-03-30 08:12:16
"22","603","Berlin_Tuesday_20170418","3",2017-03-30 08:12:16
"23","621","Berlin_Tuesday_20170425","4",2017-03-30 08:12:16
"24","266","Sydney_Tuesday_20170404","1",2017-03-30 08:12:16
"25","411","Sydney_Tuesday_20170411","2",2017-03-30 08:12:16
"26","377","Sydney_Tuesday_20170418","3",2017-03-30 08:12:16
"27","456","Sydney_Tuesday_20170425","4",2017-03-30 08:12:16
"28","239","Las_Vegas_Saturday_20170401","1",2017-03-30 08:12:16
"29","231","Las_Vegas_Saturday_20170408","2",2017-03-30 08:12:16
"30","279","Las_Vegas_Saturday_20170415","3",2017-03-30 08:12:16
"31","214","Las_Vegas_Saturday_20170422","4",2017-03-30 08:12:16
"32","615","New_York_City_Saturday_20170401","1",2017-03-30 08:12:16
"33","514","New_York_City_Saturday_20170408","2",2017-03-30 08:12:16
"34","570","New_York_City_Saturday_20170415","3",2017-03-30 08:12:16
"35","580","New_York_City_Saturday_20170422","4",2017-03-30 08:12:16
"36","342","Washington_DC_Saturday_20170401","1",2017-03-30 08:12:16
"37","444","Washington_DC_Saturday_20170408","2",2017-03-30 08:12:16
"38","479","Washington_DC_Saturday_20170415","3",2017-03-30 08:12:16
"39","426","Washington_DC_Saturday_20170422","4",2017-03-30 08:12:16
"40","1104","London_Saturday_20170401","1",2017-03-30 08:12:16
"41","1033","London_Saturday_20170408","2",2017-03-30 08:12:16
"42","960","London_Saturday_20170415","3",2017-03-30 08:12:16
"43","788","London_Saturday_20170422","4",2017-03-30 08:12:16
"44","2023","Paris_Saturday_20170401","1",2017-03-30 08:12:16
"45","1795","Paris_Saturday_20170408","2",2017-03-30 08:12:16
"46","1795","Paris_Saturday_20170415","3",2017-03-30 08:12:16
"47","2074","Paris_Saturday_20170422","4",2017-03-30 08:12:16
"48","462","Berlin_Saturday_20170401","1",2017-03-30 08:12:16
"49","539","Berlin_Saturday_20170408","2",2017-03-30 08:12:16
"50","378","Berlin_Saturday_20170415","3",2017-03-30 08:12:16
"51","598","Berlin_Saturday_20170422","4",2017-03-30 08:12:16
"52","207","Sydney_Saturday_20170401","1",2017-03-30 08:12:16
"53","270","Sydney_Saturday_20170408","2",2017-03-30 08:12:16
"54","310","Sydney_Saturday_20170415","3",2017-03-30 08:12:16
"55","377","Sydney_Saturday_20170422","4",2017-03-30 08:12:16
