"","resultstemp","V2","V3","DATE_RETRIEVED"
"1","288","Las_Vegas_Tuesday_20170718","1",2017-07-13 06:04:13
"2","285","Las_Vegas_Tuesday_20170725","2",2017-07-13 06:04:13
"3","291","Las_Vegas_Tuesday_20170801","3",2017-07-13 06:04:13
"4","286","Las_Vegas_Tuesday_20170808","4",2017-07-13 06:04:13
"5","518","New_York_City_Tuesday_20170718","1",2017-07-13 06:04:13
"6","658","New_York_City_Tuesday_20170725","2",2017-07-13 06:04:13
"7","638","New_York_City_Tuesday_20170801","3",2017-07-13 06:04:13
"8","664","New_York_City_Tuesday_20170808","4",2017-07-13 06:04:13
"9","263","Washington_DC_Tuesday_20170718","1",2017-07-13 06:04:13
"10","433","Washington_DC_Tuesday_20170725","2",2017-07-13 06:04:13
"11","510","Washington_DC_Tuesday_20170801","3",2017-07-13 06:04:13
"12","493","Washington_DC_Tuesday_20170808","4",2017-07-13 06:04:13
"13","1309","London_Tuesday_20170718","1",2017-07-13 06:04:13
"14","1465","London_Tuesday_20170725","2",2017-07-13 06:04:13
"15","1523","London_Tuesday_20170801","3",2017-07-13 06:04:13
"16","1476","London_Tuesday_20170808","4",2017-07-13 06:04:13
"17","1787","Paris_Tuesday_20170718","1",2017-07-13 06:04:13
"18","1944","Paris_Tuesday_20170725","2",2017-07-13 06:04:13
"19","2130","Paris_Tuesday_20170801","3",2017-07-13 06:04:13
"20","2105","Paris_Tuesday_20170808","4",2017-07-13 06:04:13
"21","590","Berlin_Tuesday_20170718","1",2017-07-13 06:04:13
"22","639","Berlin_Tuesday_20170725","2",2017-07-13 06:04:13
"23","731","Berlin_Tuesday_20170801","3",2017-07-13 06:04:13
"24","727","Berlin_Tuesday_20170808","4",2017-07-13 06:04:13
"25","423","Sydney_Tuesday_20170718","1",2017-07-13 06:04:13
"26","461","Sydney_Tuesday_20170725","2",2017-07-13 06:04:13
"27","468","Sydney_Tuesday_20170801","3",2017-07-13 06:04:13
"28","474","Sydney_Tuesday_20170808","4",2017-07-13 06:04:13
"29","214","Las_Vegas_Saturday_20170715","1",2017-07-13 06:04:13
"30","243","Las_Vegas_Saturday_20170722","2",2017-07-13 06:04:13
"31","112","Las_Vegas_Saturday_20170729","3",2017-07-13 06:04:13
"32","262","Las_Vegas_Saturday_20170805","4",2017-07-13 06:04:13
"33","566","New_York_City_Saturday_20170715","1",2017-07-13 06:04:13
"34","602","New_York_City_Saturday_20170722","2",2017-07-13 06:04:13
"35","554","New_York_City_Saturday_20170729","3",2017-07-13 06:04:13
"36","641","New_York_City_Saturday_20170805","4",2017-07-13 06:04:13
"37","459","Washington_DC_Saturday_20170715","1",2017-07-13 06:04:13
"38","479","Washington_DC_Saturday_20170722","2",2017-07-13 06:04:13
"39","504","Washington_DC_Saturday_20170729","3",2017-07-13 06:04:13
"40","470","Washington_DC_Saturday_20170805","4",2017-07-13 06:04:13
"41","962","London_Saturday_20170715","1",2017-07-13 06:04:13
"42","1202","London_Saturday_20170722","2",2017-07-13 06:04:13
"43","1027","London_Saturday_20170729","3",2017-07-13 06:04:13
"44","1097","London_Saturday_20170805","4",2017-07-13 06:04:13
"45","1622","Paris_Saturday_20170715","1",2017-07-13 06:04:13
"46","1868","Paris_Saturday_20170722","2",2017-07-13 06:04:13
"47","2116","Paris_Saturday_20170729","3",2017-07-13 06:04:13
"48","2060","Paris_Saturday_20170805","4",2017-07-13 06:04:13
"49","469","Berlin_Saturday_20170715","1",2017-07-13 06:04:13
"50","511","Berlin_Saturday_20170722","2",2017-07-13 06:04:13
"51","547","Berlin_Saturday_20170729","3",2017-07-13 06:04:13
"52","582","Berlin_Saturday_20170805","4",2017-07-13 06:04:13
"53","270","Sydney_Saturday_20170715","1",2017-07-13 06:04:13
"54","377","Sydney_Saturday_20170722","2",2017-07-13 06:04:13
"55","410","Sydney_Saturday_20170729","3",2017-07-13 06:04:13
"56","403","Sydney_Saturday_20170805","4",2017-07-13 06:04:13
