"","resultstemp","V2","V3","DATE_RETRIEVED"
"1","290","Las_Vegas_Tuesday_20170404","1",2017-03-29 08:33:47
"2","297","Las_Vegas_Tuesday_20170411","2",2017-03-29 08:33:47
"3","298","Las_Vegas_Tuesday_20170418","3",2017-03-29 08:33:47
"4","254","Las_Vegas_Tuesday_20170425","4",2017-03-29 08:33:47
"5","614","New_York_City_Tuesday_20170411","2",2017-03-29 08:33:47
"6","652","New_York_City_Tuesday_20170418","3",2017-03-29 08:33:47
"7","659","New_York_City_Tuesday_20170425","4",2017-03-29 08:33:47
"8","132","Washington_DC_Tuesday_20170404","1",2017-03-29 08:33:47
"9","407","Washington_DC_Tuesday_20170411","2",2017-03-29 08:33:47
"10","454","Washington_DC_Tuesday_20170418","3",2017-03-29 08:33:47
"11","410","Washington_DC_Tuesday_20170425","4",2017-03-29 08:33:47
"12","1251","London_Tuesday_20170404","1",2017-03-29 08:33:47
"13","1507","London_Tuesday_20170418","3",2017-03-29 08:33:47
"14","1438","London_Tuesday_20170425","4",2017-03-29 08:33:47
"15","2081","Paris_Tuesday_20170404","1",2017-03-29 08:33:47
"16","2013","Paris_Tuesday_20170411","2",2017-03-29 08:33:47
"17","2142","Paris_Tuesday_20170418","3",2017-03-29 08:33:47
"18","2118","Paris_Tuesday_20170425","4",2017-03-29 08:33:47
"19","651","Berlin_Tuesday_20170404","1",2017-03-29 08:33:47
"20","617","Berlin_Tuesday_20170411","2",2017-03-29 08:33:47
"21","724","Berlin_Tuesday_20170418","3",2017-03-29 08:33:47
"22","621","Berlin_Tuesday_20170425","4",2017-03-29 08:33:47
"23","315","Sydney_Tuesday_20170404","1",2017-03-29 08:33:47
"24","392","Sydney_Tuesday_20170411","2",2017-03-29 08:33:47
"25","412","Sydney_Tuesday_20170418","3",2017-03-29 08:33:47
"26","420","Sydney_Tuesday_20170425","4",2017-03-29 08:33:47
"27","642","New_York_City_Tuesday_20170404","1",2017-03-29 08:33:47
"28","1284","London_Tuesday_20170411","2",2017-03-29 08:33:47
"29","239","Las_Vegas_Saturday_20170401","1",2017-03-29 08:33:47
"30","232","Las_Vegas_Saturday_20170408","2",2017-03-29 08:33:47
"31","282","Las_Vegas_Saturday_20170415","3",2017-03-29 08:33:47
"32","218","Las_Vegas_Saturday_20170422","4",2017-03-29 08:33:47
"33","615","New_York_City_Saturday_20170401","1",2017-03-29 08:33:47
"34","513","New_York_City_Saturday_20170408","2",2017-03-29 08:33:47
"35","574","New_York_City_Saturday_20170415","3",2017-03-29 08:33:47
"36","587","New_York_City_Saturday_20170422","4",2017-03-29 08:33:47
"37","458","Washington_DC_Saturday_20170408","2",2017-03-29 08:33:47
"38","483","Washington_DC_Saturday_20170415","3",2017-03-29 08:33:47
"39","436","Washington_DC_Saturday_20170422","4",2017-03-29 08:33:47
"40","1108","London_Saturday_20170401","1",2017-03-29 08:33:47
"41","1019","London_Saturday_20170408","2",2017-03-29 08:33:47
"42","961","London_Saturday_20170415","3",2017-03-29 08:33:47
"43","810","London_Saturday_20170422","4",2017-03-29 08:33:47
"44","1999","Paris_Saturday_20170401","1",2017-03-29 08:33:47
"45","1810","Paris_Saturday_20170408","2",2017-03-29 08:33:47
"46","1796","Paris_Saturday_20170415","3",2017-03-29 08:33:47
"47","2068","Paris_Saturday_20170422","4",2017-03-29 08:33:47
"48","457","Berlin_Saturday_20170401","1",2017-03-29 08:33:47
"49","577","Berlin_Saturday_20170408","2",2017-03-29 08:33:47
"50","373","Berlin_Saturday_20170415","3",2017-03-29 08:33:47
"51","606","Berlin_Saturday_20170422","4",2017-03-29 08:33:47
"52","237","Sydney_Saturday_20170401","1",2017-03-29 08:33:47
"53","281","Sydney_Saturday_20170408","2",2017-03-29 08:33:47
"54","300","Sydney_Saturday_20170415","3",2017-03-29 08:33:47
"55","378","Sydney_Saturday_20170422","4",2017-03-29 08:33:47
