"","resultstemp","V2","V3","DATE_RETRIEVED"
"1","287","Las_Vegas_Tuesday_20170718","1",2017-07-15 09:55:22
"2","284","Las_Vegas_Tuesday_20170725","2",2017-07-15 09:55:22
"3","290","Las_Vegas_Tuesday_20170801","3",2017-07-15 09:55:22
"4","291","Las_Vegas_Tuesday_20170808","4",2017-07-15 09:55:22
"5","426","New_York_City_Tuesday_20170718","1",2017-07-15 09:55:22
"6","643","New_York_City_Tuesday_20170725","2",2017-07-15 09:55:22
"7","661","New_York_City_Tuesday_20170801","3",2017-07-15 09:55:22
"8","664","New_York_City_Tuesday_20170808","4",2017-07-15 09:55:22
"9","203","Washington_DC_Tuesday_20170718","1",2017-07-15 09:55:22
"10","421","Washington_DC_Tuesday_20170725","2",2017-07-15 09:55:22
"11","506","Washington_DC_Tuesday_20170801","3",2017-07-15 09:55:22
"12","490","Washington_DC_Tuesday_20170808","4",2017-07-15 09:55:22
"13","1180","London_Tuesday_20170718","1",2017-07-15 09:55:22
"14","1443","London_Tuesday_20170725","2",2017-07-15 09:55:22
"15","1549","London_Tuesday_20170801","3",2017-07-15 09:55:22
"16","1461","London_Tuesday_20170808","4",2017-07-15 09:55:22
"17","1661","Paris_Tuesday_20170718","1",2017-07-15 09:55:22
"18","1916","Paris_Tuesday_20170725","2",2017-07-15 09:55:22
"19","2147","Paris_Tuesday_20170801","3",2017-07-15 09:55:22
"20","2092","Paris_Tuesday_20170808","4",2017-07-15 09:55:22
"21","535","Berlin_Tuesday_20170718","1",2017-07-15 09:55:22
"22","645","Berlin_Tuesday_20170725","2",2017-07-15 09:55:22
"23","736","Berlin_Tuesday_20170801","3",2017-07-15 09:55:22
"24","729","Berlin_Tuesday_20170808","4",2017-07-15 09:55:22
"25","368","Sydney_Tuesday_20170718","1",2017-07-15 09:55:22
"26","453","Sydney_Tuesday_20170725","2",2017-07-15 09:55:22
"27","469","Sydney_Tuesday_20170801","3",2017-07-15 09:55:22
"28","476","Sydney_Tuesday_20170808","4",2017-07-15 09:55:22
"29","181","Las_Vegas_Saturday_20170715","1",2017-07-15 09:55:22
"30","239","Las_Vegas_Saturday_20170722","2",2017-07-15 09:55:22
"31","94","Las_Vegas_Saturday_20170729","3",2017-07-15 09:55:22
"32","261","Las_Vegas_Saturday_20170805","4",2017-07-15 09:55:22
"33","448","New_York_City_Saturday_20170715","1",2017-07-15 09:55:22
"34","597","New_York_City_Saturday_20170722","2",2017-07-15 09:55:22
"35","542","New_York_City_Saturday_20170729","3",2017-07-15 09:55:22
"36","634","New_York_City_Saturday_20170805","4",2017-07-15 09:55:22
"37","427","Washington_DC_Saturday_20170715","1",2017-07-15 09:55:22
"38","484","Washington_DC_Saturday_20170722","2",2017-07-15 09:55:22
"39","510","Washington_DC_Saturday_20170729","3",2017-07-15 09:55:22
"40","480","Washington_DC_Saturday_20170805","4",2017-07-15 09:55:22
"41","781","London_Saturday_20170715","1",2017-07-15 09:55:22
"42","1200","London_Saturday_20170722","2",2017-07-15 09:55:22
"43","1008","London_Saturday_20170729","3",2017-07-15 09:55:22
"44","1082","London_Saturday_20170805","4",2017-07-15 09:55:22
"45","1216","Paris_Saturday_20170715","1",2017-07-15 09:55:22
"46","1819","Paris_Saturday_20170722","2",2017-07-15 09:55:22
"47","2125","Paris_Saturday_20170729","3",2017-07-15 09:55:22
"48","2054","Paris_Saturday_20170805","4",2017-07-15 09:55:22
"49","421","Berlin_Saturday_20170715","1",2017-07-15 09:55:22
"50","493","Berlin_Saturday_20170722","2",2017-07-15 09:55:22
"51","538","Berlin_Saturday_20170729","3",2017-07-15 09:55:22
"52","541","Berlin_Saturday_20170805","4",2017-07-15 09:55:22
"53","94","Sydney_Saturday_20170715","1",2017-07-15 09:55:22
"54","373","Sydney_Saturday_20170722","2",2017-07-15 09:55:22
"55","404","Sydney_Saturday_20170729","3",2017-07-15 09:55:22
"56","398","Sydney_Saturday_20170805","4",2017-07-15 09:55:22
