"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1"," The Venetian Resort Hotel CasinoThe Strip "," 8.91931","299","481 ","Las_Vegas_Tuesday_20170404","1"
"2"," The Palazzo Resort Hotel CasinoThe Strip ","2. The Palazzo Resort Hotel CasinoThe Strip - Northeast MapFree Internet583 People Viewing!2Rooms Left! Book Now!On Sale Now -> Save 46% on this stay Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last 30 days.from$279$514 Choose","279","514 ","Las_Vegas_Tuesday_20170404","1"
"3"," Bellagio Hotel And CasinoThe Strip "," 8.5478","279","444 ","Las_Vegas_Tuesday_20170404","1"
"4"," Treasure Island Hotel & CasinoThe Strip "," 7.82481","139.95","319 ","Las_Vegas_Tuesday_20170404","1"
"5"," Aria Resort And CasinoThe Strip "," 8.61018","179","429 ","Las_Vegas_Tuesday_20170404","1"
"6"," Mandalay Bay Resort And CasinoThe Strip "," 8.21029","NA","129 ","Las_Vegas_Tuesday_20170404","1"
"7"," Paris Las VegasThe Strip "," 7.71093","68.NA","68.99 ","Las_Vegas_Tuesday_20170404","1"
"8"," Flamingo Las VegasThe Strip "," 6.32111","NA","40 ","Las_Vegas_Tuesday_20170404","1"
"9"," Caesars Palace Las VegasThe Strip "," 7.6837","NA","129 ","Las_Vegas_Tuesday_20170404","1"
"10"," Trump International Hotel, Las VegasThe Strip "," 8.93509","149.25","419 ","Las_Vegas_Tuesday_20170404","1"
"11"," The Linq Hotel And CasinoThe Strip "," 7.1564","NA","59 ","Las_Vegas_Tuesday_20170404","1"
"12"," Ballys Las VegasThe Strip "," 7.51439","NA","47 ","Las_Vegas_Tuesday_20170404","1"
"13"," Mgm Grand Hotel CasinoThe Strip "," 7.61393","NA","99 ","Las_Vegas_Tuesday_20170404","1"
"14"," Luxor Hotel And CasinoThe Strip "," 7.03208","NA","69 ","Las_Vegas_Tuesday_20170404","1"
"15"," Excalibur Hotel And CasinoThe Strip "," 7.12936","NA","29 ","Las_Vegas_Tuesday_20170404","1"
"16"," Rio Suite Hotel CasinoWest of The Strip MapFree ParkingFree Cancellation Available+ moreCloseSpecial OffersAvailable on certain rates: People Viewing!CLICK HERE to sign in and unlock a lower price! Good:  reviews Savings CalculationClosefrom$ Choose"," 7.11680","34.NA","34.99 ","Las_Vegas_Tuesday_20170404","1"
"17"," The MirageThe Strip "," 8.1908","159","337 ","Las_Vegas_Tuesday_20170404","1"
"18"," Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas "," 7.81915","NA","59 ","Las_Vegas_Tuesday_20170404","1"
"19"," Wynn Las VegasThe Strip "," 9.0750","269","409 ","Las_Vegas_Tuesday_20170404","1"
"20"," Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking People Viewing!Good:  reviews Savings CalculationClosefrom$ Choose"," 7.11083","NA","85 ","Las_Vegas_Tuesday_20170404","1"
"21"," South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking People Viewing!On Sale Now "," 8.01849","69","199 ","Las_Vegas_Tuesday_20170404","1"
