"","hotel_name","score","presaleprice","price","test.V2"
"1","Monte Carlo Resort And CasinoThe Strip"," 7.01855","101","68","Las_Vegas_Tuesday_20170404"
"2","The Venetian Resort Hotel CasinoThe Strip"," 8.91926","529","299","Las_Vegas_Tuesday_20170404"
"3","The Palazzo Resort Hotel CasinoThe Strip","3. The Palazzo Resort Hotel CasinoThe Strip - Northeast MapFree InternetFree Cancellation Available574 People Viewing!1Room Left! Book Now!On Sale Now -> Save 46% on this stay Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last 30 days.was $514from$279Choose","514","279","Las_Vegas_Tuesday_20170404"
"4","Bellagio Hotel And CasinoThe Strip"," 8.5477","626","349","Las_Vegas_Tuesday_20170404"
"5","Treasure Island Hotel & CasinoThe Strip"," 7.82476","319","99","Las_Vegas_Tuesday_20170404"
"6","Aria Resort And CasinoThe Strip"," 8.61018","429","152","Las_Vegas_Tuesday_20170404"
"7","Mandalay Bay Resort And CasinoThe Strip"," 8.21028","171","148","Las_Vegas_Tuesday_20170404"
"8","Caesars Palace Las VegasThe Strip"," 7.6834","NA","132","Las_Vegas_Tuesday_20170404"
"9","Flamingo Las VegasThe Strip"," 6.32110","NA","61","Las_Vegas_Tuesday_20170404"
"10","Paris Las VegasThe Strip"," 7.71088","328","98","Las_Vegas_Tuesday_20170404"
"11","Trump International Hotel, Las VegasThe Strip"," 8.93368","419","149","Las_Vegas_Tuesday_20170404"
"12","The Linq Hotel And CasinoThe Strip"," 7.1564","NA","99","Las_Vegas_Tuesday_20170404"
"13","Ballys Las VegasThe Strip"," 7.51438","NA","54","Las_Vegas_Tuesday_20170404"
"14","Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas"," 7.81912","NA","59","Las_Vegas_Tuesday_20170404"
"15","Mgm Grand Hotel CasinoThe Strip"," 7.61388","329","135","Las_Vegas_Tuesday_20170404"
"16","Excalibur Hotel And CasinoThe Strip"," 7.12931","42","28","Las_Vegas_Tuesday_20170404"
"17","Luxor Hotel And CasinoThe Strip"," 7.03205","101","68","Las_Vegas_Tuesday_20170404"
"18","Rio Suite Hotel CasinoWest of The Strip MapFree ParkingFree Cancellation Available+ moreCloseSpecial OffersAvailable on certain rates: People Viewing!Rooms Left! Book Now!CLICK HERE to sign in and unlock a lower price! Good:  reviews Savings CalculationClosewas from$Choose"," 7.11675","NA","34","Las_Vegas_Tuesday_20170404"
"19","The MirageThe Strip"," 8.1906","424","244","Las_Vegas_Tuesday_20170404"
"20","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free ParkingFree Cancellation Available People Viewing!On Sale Now"," 7.11083","299","95","Las_Vegas_Tuesday_20170404"
"21","Wynn Las VegasThe Strip"," 9.0749","NA","299","Las_Vegas_Tuesday_20170404"
"22","Harrahs Las VegasThe Strip"," 7.01179","320","124","Las_Vegas_Tuesday_20170404"
"23","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree ParkingFree Cancellation Available People Viewing!On Sale Now"," 8.01847","199","69","Las_Vegas_Tuesday_20170404"
"24","Planet Hollywood Resort And CasinoThe Strip"," 7.41313","NA","79","Las_Vegas_Tuesday_20170404"
"25","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip"," 8.6756","589","289","Las_Vegas_Tuesday_20170404"
"26","Stratosphere TowerThe Strip"," 6.52823","49","37","Las_Vegas_Tuesday_20170404"
"27","Downtown Grand, an Ascend HotelDowntown Las Vegas"," 8.2928","NA","45","Las_Vegas_Tuesday_20170404"
"28","Vdara Hotel & Spa at CityCenter Las VegasThe Strip"," 8.61344","NA","178","Las_Vegas_Tuesday_20170404"
"29","The Signature At Mgm GrandThe Strip"," 8.6571","309","143","Las_Vegas_Tuesday_20170404"
"30","Tuscany Suites & CasinoEast of The Strip MapFree Internet, Free ParkingFree Cancellation Available People Viewing!Excellent:  reviews Savings CalculationClosewas from$Choose"," 8.5702","NA","49","Las_Vegas_Tuesday_20170404"
"31","Westgate Las Vegas Resort & CasinoLas Vegas Convention Center MapFree ParkingFree Cancellation Available People Viewing!Pleasant:  reviews Savings CalculationClosewas from$Choose"," 6.62212","NA","49","Las_Vegas_Tuesday_20170404"
"32","New York New York Hotel And CasinoThe Strip"," 7.71147","372","114","Las_Vegas_Tuesday_20170404"
"33","Circus Circus Hotel, Casino & Theme ParkThe Strip"," 6.32704","37","21","Las_Vegas_Tuesday_20170404"
"34","Four Queens Hotel And CasinoDowntown Las Vegas"," 7.0632","194","59","Las_Vegas_Tuesday_20170404"
"35","Eastside CanneryBoulder Strip MapFree Internet, Free ParkingFree Cancellation Available+ moreCloseSpecial OffersAvailable on certain rates: People Viewing!Rooms Left! Book Now!On Sale Now"," 8.1643","159","53","Las_Vegas_Tuesday_20170404"
"36","La Quinta Inn & Suites Las Vegas Airport North Convention CenterEast of The Strip MapFree Parking, Free Breakfast, Free InternetFree Cancellation, Pay Later Available People Viewing!Room Left! Book Now!CLICK HERE to sign in and unlock a lower price! Pleasant:  reviews Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last  dayswas $from$Choose"," 6.6287","219","99","Las_Vegas_Tuesday_20170404"
"37","Delano Las Vegas At Mandalay BayThe Strip"," 8.4276","379","157","Las_Vegas_Tuesday_20170404"
"38","Alexis Park All Suite ResortEast of The Strip MapFree Internet, Free ParkingFree Cancellation Available People Viewing!On Sale Now"," 6.8548","189","71","Las_Vegas_Tuesday_20170404"
"39","Best Western Mccarran InnMcCarran International Airport (LAS) MapFree Parking, Free Breakfast, Free InternetFree Cancellation Available People Viewing!Room Left! Book Now!On Sale Now"," 7.782","229","94","Las_Vegas_Tuesday_20170404"
"40","La Quinta Inn & Suites Las Vegas Airport SouthMcCarran International Airport (LAS) MapFree Parking, Free Breakfast, Free InternetFree Cancellation, Pay Later Available People Viewing!Rooms Left! Book Now!On Sale Now"," 8.8906","159","109","Las_Vegas_Tuesday_20170404"
"41","Excalibur Hotel And CasinoThe Strip"," 7.12931","42","28","Las_Vegas_Tuesday_20170411"
"42","The Venetian Resort Hotel CasinoThe Strip"," 8.91926","NA","149","Las_Vegas_Tuesday_20170411"
"43","The Palazzo Resort Hotel CasinoThe Strip","3. The Palazzo Resort Hotel CasinoThe Strip - Northeast MapFree InternetFree Cancellation Available578 People Viewing!1Room Left! Book Now!CLICK HERE to sign in and unlock a lower price!  Savings CalculationClosewas 0from$149Choose","NA","149","Las_Vegas_Tuesday_20170411"
"44","Bellagio Hotel And CasinoThe Strip"," 8.5477","626","188","Las_Vegas_Tuesday_20170411"
"45","Treasure Island Hotel & CasinoThe Strip"," 7.82476","NA","69","Las_Vegas_Tuesday_20170411"
"46","Aria Resort And CasinoThe Strip"," 8.61018","429","158","Las_Vegas_Tuesday_20170411"
"47","Mandalay Bay Resort And CasinoThe Strip"," 8.21028","505","335","Las_Vegas_Tuesday_20170411"
"48","Caesars Palace Las VegasThe Strip"," 7.6834","NA","122","Las_Vegas_Tuesday_20170411"
"49","Flamingo Las VegasThe Strip"," 6.32110","NA","57","Las_Vegas_Tuesday_20170411"
"50","Paris Las VegasThe Strip"," 7.71088","328","139","Las_Vegas_Tuesday_20170411"
"51","Trump International Hotel, Las VegasThe Strip"," 8.93368","NA","111","Las_Vegas_Tuesday_20170411"
"52","The Linq Hotel And CasinoThe Strip"," 7.1564","NA","50","Las_Vegas_Tuesday_20170411"
