"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","Four Queens Hotel And CasinoDowntown Las Vegas","7.0707","180","59","Las_Vegas_Tuesday_20170725","1"
"2","The Venetian Resort Hotel CasinoThe Strip","8.92008","699","349","Las_Vegas_Tuesday_20170725","1"
"3","Caesars Palace Las VegasThe Strip","7.6899","NA","109","Las_Vegas_Tuesday_20170725","1"
"4","Paris Las VegasThe Strip","7.71179","NA","104","Las_Vegas_Tuesday_20170725","1"
"5","The Linq Hotel And CasinoThe Strip","7.1672","NA","49","Las_Vegas_Tuesday_20170725","1"
"6","Ballys Las VegasThe Strip","7.51537","NA","48","Las_Vegas_Tuesday_20170725","1"
"7","Bellagio Hotel And CasinoThe Strip","8.5536","629","228","Las_Vegas_Tuesday_20170725","1"
"8","Planet Hollywood Resort And CasinoThe Strip","7.41385","NA","75","Las_Vegas_Tuesday_20170725","1"
"9","The Palazzo Resort Hotel CasinoThe Strip","9.11767","799","499","Las_Vegas_Tuesday_20170725","1"
"10","Encore At Wynn Las VegasThe Strip","8.9305","NA","269","Las_Vegas_Tuesday_20170725","1"
"11","Aria Resort And CasinoThe Strip","8.61063","605","328","Las_Vegas_Tuesday_20170725","1"
"12","Flamingo Las VegasThe Strip","6.32229","NA","44","Las_Vegas_Tuesday_20170725","1"
"13","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip","8.6830","824","559","Las_Vegas_Tuesday_20170725","1"
"14","Harrahs Las VegasThe Strip","7.01242","NA","49","Las_Vegas_Tuesday_20170725","1"
"15","Monte Carlo Resort And CasinoThe Strip","7.02026","NA","108","Las_Vegas_Tuesday_20170725","1"
"16","Luxor Hotel And CasinoThe Strip","7.03417","NA","267","Las_Vegas_Tuesday_20170725","1"
"17","Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas","7.81988","284","119","Las_Vegas_Tuesday_20170725","1"
"18","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming PoolFree Cancellation Available+ moreCloseSpecial OffersAvailable on certain rates: Travelers are considering this hotelGood:  verified guest reviews Savings CalculationClosewas from$Choose","7.11138","NA","65","Las_Vegas_Tuesday_20170725","1"
"19","Trump International Hotel, Las VegasThe Strip","8.54373","346","180","Las_Vegas_Tuesday_20170725","1"
"20","Wynn Las VegasThe Strip","9.0782","NA","224","Las_Vegas_Tuesday_20170725","1"
"21","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking|Hotel AmenitiesFree ParkingAirport ShuttleBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelVery Good:  verified guest reviews Savings CalculationClosewas from$Choose","8.11904","NA","79","Las_Vegas_Tuesday_20170725","1"
"22","The MirageThe Strip","8.1968","NA","148","Las_Vegas_Tuesday_20170725","1"
"23","Mgm Grand Hotel CasinoThe Strip","7.61502","445","179","Las_Vegas_Tuesday_20170725","1"
"24","Plaza Hotel & CasinoDowntown Las Vegas","6.5291","NA","49","Las_Vegas_Tuesday_20170725","1"
"25","Excalibur Hotel And CasinoThe Strip","7.13134","326","139","Las_Vegas_Tuesday_20170725","1"
"26","Vdara Hotel & SpaThe Strip","8.71462","613","198","Las_Vegas_Tuesday_20170725","1"
"27","New York New York Hotel And CasinoThe Strip","7.71195","367","179","Las_Vegas_Tuesday_20170725","1"
"28","Downtown Grand, an Ascend HotelDowntown Las Vegas","8.21018","NA","59","Las_Vegas_Tuesday_20170725","1"
"29","Alexis Park All Suite ResortEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSpaSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelPleasant:  verified guest reviewsLimited time offer Super Hot Deal SAVE%Savings CalculationCloseOnly  room leftwas $from$Choose","6.8573","69","48","Las_Vegas_Tuesday_20170725","1"
"30","Circus Circus Hotel, Casino & Theme ParkThe Strip","6.32882","29","24","Las_Vegas_Tuesday_20170725","1"
"31","Oasis At The Gold Spike HotelDowntown Las Vegas","31. Oasis At The Gold Spike HotelDowntown Las Vegas - Fremont Street Area MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSwimming PoolOutdoor Swimming PoolFree Cancellation Available36 Travelers are considering this hotel 5.794","44","35","Las_Vegas_Tuesday_20170725","1"
"32","The D Las Vegas Hotel CasinoDowntown Las Vegas","6.9672","NA","54","Las_Vegas_Tuesday_20170725","1"
"33","Thunderbird Boutique HotelThe Strip","33. Thunderbird Boutique HotelThe Strip - Northeast MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableHandicapped Rooms/FacilitiesNon SmokingSwimming PoolOutdoor Swimming PoolFree Cancellation Available2 Travelers are considering this hotel 5.026","NA","59","Las_Vegas_Tuesday_20170725","1"
"34","Red Roof Inn Las VegasEast of The Strip MapFree Parking, Free Breakfast, Free Internet|Hotel AmenitiesFree InternetFree ParkingFree BreakfastBusiness CenterFree Internet In Public AreasHandicapped Rooms/FacilitiesNon SmokingPets AllowedSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelGood:  verified guest reviewsOn Sale Now","7.6293","145","79","Las_Vegas_Tuesday_20170725","1"
"35","Rio Suite Hotel CasinoWest of The Strip MapFree Parking|Hotel AmenitiesFree ParkingBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolFree Cancellation Available+ moreCloseSpecial OffersAvailable on certain rates: Travelers are considering this hotelGood:  verified guest reviews Savings CalculationCloseOnly  room leftwas from$Choose","7.11764","NA","89","Las_Vegas_Tuesday_20170725","1"
"36","The Orleans Hotel And CasinoLas Vegas South MapHotel AmenitiesHandicapped Rooms/FacilitiesRestaurantFree Cancellation Available Travelers are considering this hotelVery Good:  verified guest reviewsOn Sale Now","8.0667","306","100","Las_Vegas_Tuesday_20170725","1"
"37","Stratosphere TowerThe Strip","6.52974","69","52","Las_Vegas_Tuesday_20170725","1"
"38","Mandarin Oriental at CityCenter Las VegasThe Strip","9.437","779","529","Las_Vegas_Tuesday_20170725","1"
"39","Red Rock Casino Resort SpaSummerlin MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelExcellent:  verified guest reviewsOn Sale Now","8.5465","545","320","Las_Vegas_Tuesday_20170725","1"
"40","Fremont Hotel And CasinoDowntown Las Vegas","7.0163","NA","46","Las_Vegas_Tuesday_20170725","1"
"41","Four Queens Hotel And CasinoDowntown Las Vegas","7.0707","180","69","Las_Vegas_Tuesday_20170801","2"
"42","The Venetian Resort Hotel CasinoThe Strip","8.92008","181","141","Las_Vegas_Tuesday_20170801","2"
"43","Paris Las VegasThe Strip","7.71179","NA","78","Las_Vegas_Tuesday_20170801","2"
"44","Mandalay Bay Resort And CasinoThe Strip","8.21107","NA","85","Las_Vegas_Tuesday_20170801","2"
"45","The Linq Hotel And CasinoThe Strip","7.1672","NA","49","Las_Vegas_Tuesday_20170801","2"
"46","Caesars Palace Las VegasThe Strip","7.6899","NA","119","Las_Vegas_Tuesday_20170801","2"
"47","Ballys Las VegasThe Strip","7.51537","NA","44","Las_Vegas_Tuesday_20170801","2"
"48","Luxor Hotel And CasinoThe Strip","7.03417","NA","41","Las_Vegas_Tuesday_20170801","2"
"49","Bellagio Hotel And CasinoThe Strip","8.5536","NA","179","Las_Vegas_Tuesday_20170801","2"
"50","Planet Hollywood Resort And CasinoThe Strip","7.41385","NA","61","Las_Vegas_Tuesday_20170801","2"
"51","The Palazzo Resort Hotel CasinoThe Strip","9.11767","NA","179","Las_Vegas_Tuesday_20170801","2"
"52","Treasure Island Hotel & CasinoThe Strip","7.82597","85","62","Las_Vegas_Tuesday_20170801","2"
"53","Encore At Wynn Las VegasThe Strip","8.9305","NA","215","Las_Vegas_Tuesday_20170801","2"
"54","Excalibur Hotel And CasinoThe Strip","7.13134","NA","38","Las_Vegas_Tuesday_20170801","2"
"55","New York New York Hotel And CasinoThe Strip","7.71195","NA","58","Las_Vegas_Tuesday_20170801","2"
"56","Aria Resort And CasinoThe Strip","8.61063","NA","126","Las_Vegas_Tuesday_20170801","2"
"57","Monte Carlo Resort And CasinoThe Strip","7.02026","NA","54","Las_Vegas_Tuesday_20170801","2"
"58","Flamingo Las VegasThe Strip","6.32229","NA","44","Las_Vegas_Tuesday_20170801","2"
