"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","The Venetian Resort Hotel CasinoThe Strip","8.92006","699","299","Las_Vegas_Tuesday_20170718","1"
"2","Paris Las VegasThe Strip","7.71177","NA","89","Las_Vegas_Tuesday_20170718","1"
"3","The Linq Hotel And CasinoThe Strip","7.1669","NA","64","Las_Vegas_Tuesday_20170718","1"
"4","Caesars Palace Las VegasThe Strip","7.6897","558","189","Las_Vegas_Tuesday_20170718","1"
"5","Luxor Hotel And CasinoThe Strip","7.03412","NA","59","Las_Vegas_Tuesday_20170718","1"
"6","Bellagio Hotel And CasinoThe Strip","8.5535","NA","624","Las_Vegas_Tuesday_20170718","1"
"7","Encore At Wynn Las VegasThe Strip","8.9305","NA","499","Las_Vegas_Tuesday_20170718","1"
"8","Treasure Island Hotel & CasinoThe Strip","7.82596","NA","76","Las_Vegas_Tuesday_20170718","1"
"9","The Palazzo Resort Hotel CasinoThe Strip","9.11766","749","299","Las_Vegas_Tuesday_20170718","1"
"10","Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas","7.81986","253","109","Las_Vegas_Tuesday_20170718","1"
"11","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip","8.6826","NA","549","Las_Vegas_Tuesday_20170718","1"
"12","New York New York Hotel And CasinoThe Strip","7.71193","NA","79","Las_Vegas_Tuesday_20170718","1"
"13","Excalibur Hotel And CasinoThe Strip","7.13128","NA","45","Las_Vegas_Tuesday_20170718","1"
"14","Flamingo Las VegasThe Strip","6.32224","NA","64","Las_Vegas_Tuesday_20170718","1"
"15","Harrahs Las VegasThe Strip","7.01241","309","94","Las_Vegas_Tuesday_20170718","1"
"16","Planet Hollywood Resort And CasinoThe Strip","7.41384","397","129","Las_Vegas_Tuesday_20170718","1"
"17","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelGood:  verified guest reviews Savings CalculationClosewas from$Choose","7.11138","NA","78","Las_Vegas_Tuesday_20170718","1"
"18","Wynn Las VegasThe Strip","9.0781","NA","499","Las_Vegas_Tuesday_20170718","1"
"19","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking|Hotel AmenitiesFree ParkingAirport ShuttleBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelVery Good:  verified guest reviews Savings CalculationClosewas from$Choose","8.11902","NA","59","Las_Vegas_Tuesday_20170718","1"
"20","Trump International Hotel, Las VegasThe Strip","8.54367","NA","223","Las_Vegas_Tuesday_20170718","1"
"21","The MirageThe Strip","8.1968","459","139","Las_Vegas_Tuesday_20170718","1"
"22","Plaza Hotel & CasinoDowntown Las Vegas","6.5291","NA","35","Las_Vegas_Tuesday_20170718","1"
"23","Mgm Grand Hotel CasinoThe Strip","7.61498","398","158","Las_Vegas_Tuesday_20170718","1"
"24","Vdara Hotel & SpaThe Strip","8.61457","589","209","Las_Vegas_Tuesday_20170718","1"
"25","Thunderbird Boutique HotelThe Strip","25. Thunderbird Boutique HotelThe Strip - Northeast MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableHandicapped Rooms/FacilitiesNon SmokingSwimming PoolOutdoor Swimming Pool7 Travelers are considering this hotel 5.026","59","50","Las_Vegas_Tuesday_20170718","1"
"26","Downtown Grand, an Ascend HotelDowntown Las Vegas","8.21017","NA","51","Las_Vegas_Tuesday_20170718","1"
"27","Alexis Park All Suite ResortEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelPleasant:  verified guest reviewsLimited time offer Super Hot Deal SAVE%Savings CalculationCloseOnly  room leftwas $from$Choose","6.8573","69","48","Las_Vegas_Tuesday_20170718","1"
"28","Monte Carlo Resort And CasinoThe Strip","7.02022","378","129","Las_Vegas_Tuesday_20170718","1"
"29","Actual room may vary","0}EXPRESS DEALSAVE48%SAVE 48%$116Choose",""",""minStrikePrice"":""","116","Las_Vegas_Tuesday_20170718","1"
"30","Circus Circus Hotel, Casino & Theme ParkThe Strip","6.32879","34","28","Las_Vegas_Tuesday_20170718","1"
"31","Oasis At The Gold Spike HotelDowntown Las Vegas","31. Oasis At The Gold Spike HotelDowntown Las Vegas - Fremont Street Area MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSwimming PoolOutdoor Swimming Pool5 Travelers are considering this hotel 5.794","44","35","Las_Vegas_Tuesday_20170718","1"
"32","The Orleans Hotel And CasinoLas Vegas South MapHotel AmenitiesHandicapped Rooms/FacilitiesRestaurant Travelers are considering this hotelVery Good:  verified guest reviews Savings CalculationCloseOnly  rooms leftwas from$Choose","8.0666","NA","45","Las_Vegas_Tuesday_20170718","1"
"33","Red Roof Inn Las VegasEast of The Strip MapFree Parking, Free Breakfast, Free Internet|Hotel AmenitiesFree InternetFree ParkingFree BreakfastBusiness CenterFree Internet In Public AreasHandicapped Rooms/FacilitiesNon SmokingPets AllowedSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelGood:  verified guest reviewsOn Sale Now","7.6293","129","69","Las_Vegas_Tuesday_20170718","1"
"34","Rio Suite Hotel CasinoWest of The Strip MapFree Parking|Hotel AmenitiesFree ParkingBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming Pool Travelers are considering this hotelGood:  verified guest reviews Savings CalculationCloseOnly  room leftwas from$Choose","7.11764","NA","64","Las_Vegas_Tuesday_20170718","1"
"35","Stratosphere TowerThe Strip","6.52970","64","51","Las_Vegas_Tuesday_20170718","1"
"36","Four Seasons Hotel Las VegasThe Strip","9.168","879","429","Las_Vegas_Tuesday_20170718","1"
"37","Red Rock Casino Resort SpaSummerlin MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelExcellent:  verified guest reviewsMEMBER DEALSign InSavings CalculationCloseThis savings compares your price to the second highest price offered by this hotel  days before and after your check in date You could pay lesswas $from$Choose","8.5465","483","150","Las_Vegas_Tuesday_20170718","1"
"38","Fremont Hotel And CasinoDowntown Las Vegas","7.0161","95","39","Las_Vegas_Tuesday_20170718","1"
"39","Tuscany Suites & CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelExcellent:  verified guest reviews Savings CalculationCloseOnly  rooms leftwas from$Choose","8.5734","NA","85","Las_Vegas_Tuesday_20170718","1"
"40","El Cortez Hotel and CasinoDowntown Las Vegas","7.0500","NA","35","Las_Vegas_Tuesday_20170718","1"
"41","Four Queens Hotel And CasinoDowntown Las Vegas","7.0707","129","59","Las_Vegas_Tuesday_20170725","2"
"42","The Venetian Resort Hotel CasinoThe Strip","8.92006","699","349","Las_Vegas_Tuesday_20170725","2"
"43","Paris Las VegasThe Strip","7.71177","NA","98","Las_Vegas_Tuesday_20170725","2"
"44","Caesars Palace Las VegasThe Strip","7.6897","NA","109","Las_Vegas_Tuesday_20170725","2"
"45","The Linq Hotel And CasinoThe Strip","7.1669","NA","49","Las_Vegas_Tuesday_20170725","2"
"46","Ballys Las VegasThe Strip","7.51533","NA","45","Las_Vegas_Tuesday_20170725","2"
