"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","Excalibur Hotel And CasinoThe Strip"," 7.12933","42.42","28.78","Las_Vegas_Tuesday_20170404","1"
"2","The Venetian Resort Hotel CasinoThe Strip"," 8.91928","529","299","Las_Vegas_Tuesday_20170404","1"
"3","The Palazzo Resort Hotel CasinoThe Strip","3. The Palazzo Resort Hotel CasinoThe Strip - Northeast MapFree InternetFree Cancellation Available84 People Viewing!1Room Left! Book Now!On Sale Now -> Save 46% on this stay Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last 30 days.was $514from$279Choose","514","279","Las_Vegas_Tuesday_20170404","1"
"4","Bellagio Hotel And CasinoThe Strip"," 8.5478","403.60","349.35","Las_Vegas_Tuesday_20170404","1"
"5","Treasure Island Hotel & CasinoThe Strip"," 7.82477","319","119.95","Las_Vegas_Tuesday_20170404","1"
"6","Aria Resort And CasinoThe Strip"," 8.61018","429","152.15","Las_Vegas_Tuesday_20170404","1"
"7","Mandalay Bay Resort And CasinoThe Strip"," 8.21028","161.05","139.40","Las_Vegas_Tuesday_20170404","1"
"8","Flamingo Las VegasThe Strip"," 6.32111","54.NA","54.99","Las_Vegas_Tuesday_20170404","1"
"9","Paris Las VegasThe Strip"," 7.71092","NA","89","Las_Vegas_Tuesday_20170404","1"
"10","Caesars Palace Las VegasThe Strip"," 7.6836","NA","139","Las_Vegas_Tuesday_20170404","1"
"11","Trump International Hotel, Las VegasThe Strip"," 8.93509","419","149.25","Las_Vegas_Tuesday_20170404","1"
"12","The Linq Hotel And CasinoThe Strip"," 7.1564","84.NA","84.55","Las_Vegas_Tuesday_20170404","1"
"13","Ballys Las VegasThe Strip"," 7.51439","54.NA","54.99","Las_Vegas_Tuesday_20170404","1"
"14","Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas"," 7.81913","NA","59","Las_Vegas_Tuesday_20170404","1"
"15","Mgm Grand Hotel CasinoThe Strip"," 7.61389","329","97.75","Las_Vegas_Tuesday_20170404","1"
"16","Luxor Hotel And CasinoThe Strip"," 7.03207","101.28","68.72","Las_Vegas_Tuesday_20170404","1"
"17","Rio Suite Hotel CasinoWest of The Strip MapFree ParkingFree Cancellation Available+ moreCloseSpecial OffersAvailable on certain rates: People Viewing!CLICK HERE to sign in and unlock a lower price! Good:  reviews Savings CalculationClosewas from$Choose"," 7.11676","34.NA","34.99","Las_Vegas_Tuesday_20170404","1"
"18","The MirageThe Strip"," 8.1908","424","228.65","Las_Vegas_Tuesday_20170404","1"
"19","Wynn Las VegasThe Strip"," 9.0749","409","269","Las_Vegas_Tuesday_20170404","1"
"20","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free ParkingFree Cancellation Available People Viewing!On Sale Now"," 7.11083","299","95","Las_Vegas_Tuesday_20170404","1"
"21","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree ParkingFree Cancellation Available People Viewing!On Sale Now"," 8.01847","199","69","Las_Vegas_Tuesday_20170404","1"
"22","Monte Carlo Resort And CasinoThe Strip"," 7.01856","101.28","68.72","Las_Vegas_Tuesday_20170404","1"
"23","Planet Hollywood Resort And CasinoThe Strip"," 7.41314","NA","79","Las_Vegas_Tuesday_20170404","1"
