"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","Excalibur Hotel And CasinoThe Strip"," 7.12935","39.94","29","Las_Vegas_Tuesday_20170404","1"
"2","The Venetian Resort Hotel CasinoThe Strip"," 8.91931","481","299","Las_Vegas_Tuesday_20170404","1"
"3","The Palazzo Resort Hotel CasinoThe Strip","3. The Palazzo Resort Hotel CasinoThe Strip - Northeast MapFree InternetFree Cancellation Available224 People Viewing!2Rooms Left! Book Now!On Sale Now -> Save 46% on this stay Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last 30 days.was $514from$279Choose","514","279","Las_Vegas_Tuesday_20170404","1"
"4","Bellagio Hotel And CasinoThe Strip"," 8.5478","NA","329","Las_Vegas_Tuesday_20170404","1"
"5","Treasure Island Hotel & CasinoThe Strip"," 7.82480","319","99.95","Las_Vegas_Tuesday_20170404","1"
"6","Aria Resort And CasinoThe Strip"," 8.61018","429","179","Las_Vegas_Tuesday_20170404","1"
"7","Mandalay Bay Resort And CasinoThe Strip"," 8.21029","NA","139","Las_Vegas_Tuesday_20170404","1"
"8","Flamingo Las VegasThe Strip"," 6.32111","44.NA","44.99","Las_Vegas_Tuesday_20170404","1"
"9","Paris Las VegasThe Strip"," 7.71093","78.NA","78.99","Las_Vegas_Tuesday_20170404","1"
"10","Caesars Palace Las VegasThe Strip"," 7.6837","NA","129","Las_Vegas_Tuesday_20170404","1"
"11","Trump International Hotel, Las VegasThe Strip"," 8.93509","419","149.25","Las_Vegas_Tuesday_20170404","1"
"12","The Linq Hotel And CasinoThe Strip"," 7.1564","NA","79","Las_Vegas_Tuesday_20170404","1"
"13","Ballys Las VegasThe Strip"," 7.51439","48.NA","48.99","Las_Vegas_Tuesday_20170404","1"
"14","Mgm Grand Hotel CasinoThe Strip"," 7.61393","329","115","Las_Vegas_Tuesday_20170404","1"
"15","Luxor Hotel And CasinoThe Strip"," 7.03207","95.02","69","Las_Vegas_Tuesday_20170404","1"
"16","Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas"," 7.81914","NA","74","Las_Vegas_Tuesday_20170404","1"
"17","The MirageThe Strip"," 8.1908","424","199","Las_Vegas_Tuesday_20170404","1"
"18","Rio Suite Hotel CasinoWest of The Strip MapFree ParkingFree Cancellation Available+ moreCloseSpecial OffersAvailable on certain rates: People Viewing! Room Left! Book Now!Good:  reviews Savings CalculationClosewas from$Choose"," 7.11679","28.NA","28.49","Las_Vegas_Tuesday_20170404","1"
"19","Wynn Las VegasThe Strip"," 9.0750","409","269","Las_Vegas_Tuesday_20170404","1"
"20","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free ParkingFree Cancellation Available People Viewing!On Sale Now"," 7.11083","299","95","Las_Vegas_Tuesday_20170404","1"
"21","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree ParkingFree Cancellation Available People Viewing!On Sale Now"," 8.01849","199","69","Las_Vegas_Tuesday_20170404","1"
"22","Monte Carlo Resort And CasinoThe Strip"," 7.01857","95.02","69","Las_Vegas_Tuesday_20170404","1"
"23","Planet Hollywood Resort And CasinoThe Strip"," 7.41315","74.NA","74.99","Las_Vegas_Tuesday_20170404","1"
"24","Harrahs Las VegasThe Strip"," 7.01179","NA","89","Las_Vegas_Tuesday_20170404","1"
"25","Stratosphere TowerThe Strip"," 6.52827","39.99","31.99","Las_Vegas_Tuesday_20170404","1"
"26","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip"," 8.6758","594","289.98","Las_Vegas_Tuesday_20170404","1"
"27","Downtown Grand, an Ascend HotelDowntown Las Vegas"," 8.2929","NA","45","Las_Vegas_Tuesday_20170404","1"
"28","The Signature At Mgm GrandThe Strip"," 8.6574","309","199","Las_Vegas_Tuesday_20170404","1"
"29","Vdara Hotel & Spa at CityCenter Las VegasThe Strip"," 8.61346","611","199","Las_Vegas_Tuesday_20170404","1"
