"","Properties_Worldwide","Vacation_Rentals","Destinations","Countries","Review_Count","Date"
"1","1113953","566987","104158","225","111140000","2017-JAN-08"
"2","1113953","566987","104138","225","111210000","2017-JAN-08"
"3","1113953","566987","104145","225","111290000","2017-JAN-09"
"4","1113953","566987","104182","225","111410000","2017-JAN-11"
"5","1121654","572176","104112","225","111540000","2017-JAN-11"
"6","1121654","572176","104636","225","111570000","2017-JAN-12"
"7","1122407","572544","104647","225","111620000","2017-JAN-14"
"8","1125835","575007","104647","225","111600000","2017-JAN-14"
"9","1126115","575212","104901","225","111660000","2017-JAN-16"
"10","1126407","575436","104922","225","111810000","2017-JAN-16"
