"","Country","Hotels","Date"
"1","Puerto Rico","107","2017-JAN-01"
"2","Bermuda","8","2017-JAN-01"
"3","Turks & Caicos Islands (Turks, Ccs Is) hotels","13","2017-JAN-01"
"4","Iceland","211","2017-JAN-01"
"5","Haiti","48","2017-JAN-01"
"6","Barbados","34","2017-JAN-01"
"7","Aruba","14","2017-JAN-01"
"8","Dominican Republic (Dominican Rep) hotels","260","2017-JAN-01"
"9","Jamaica","131","2017-JAN-01"
"10","Guam","14","2017-JAN-01"
"11","Singapore","305","2017-JAN-01"
"12","Bahamas","39","2017-JAN-01"
"13","Belize","85","2017-JAN-01"
"14","Canada","2888","2017-JAN-01"
"15","Mexico","4752","2017-JAN-01"
"16","Maldives","72","2017-JAN-01"
"17","United Kingdom (the UK) hotels","7482","2017-JAN-01"
"18","Guadeloupe","39","2017-JAN-01"
"19","Japan","3577","2017-JAN-01"
"20","Saint Barts (St. Barts) hotels","16","2017-JAN-01"
"21","Saint Lucia","18","2017-JAN-01"
"22","Costa Rica","757","2017-JAN-01"
"23","Panama","273","2017-JAN-01"
"24","Cayman Islands","5","2017-JAN-01"
"25","Italy","20918","2017-JAN-01"
"26","Monaco","12","2017-JAN-01"
"27","Israel","451","2017-JAN-01"
"28","Germany","14503","2017-JAN-01"
"29","India","12377","2017-JAN-01"
"30","Philippines","1010","2017-JAN-01"
"31","Ghana","277","2017-JAN-01"
"32","Guyana","17","2017-JAN-01"
"33","Anguilla","6","2017-JAN-01"
"34","France","15328","2017-JAN-01"
"35","Ireland","800","2017-JAN-01"
"36","Thailand","4004","2017-JAN-01"
"37","Saint Martin","20","2017-JAN-01"
"38","South Korea","1397","2017-JAN-01"
"39","Martinique","24","2017-JAN-01"
"40","Greece","4773","2017-JAN-01"
"41","Malta","110","2017-JAN-01"
"42","Trinidad and Tobago (Trinidad Tbgo) hotels","26","2017-JAN-01"
"43","Lebanon","237","2017-JAN-01"
"44","Australia","1291","2017-JAN-01"
"45","Mauritius","90","2017-JAN-01"
"46","Argentina","2433","2017-JAN-01"
"47","Fiji","42","2017-JAN-01"
"48","Peru","1462","2017-JAN-01"
"49","New Zealand","355","2017-JAN-01"
"50","Tanzania","413","2017-JAN-01"
"51","Switzerland","2754","2017-JAN-01"
"52","Colombia","2566","2017-JAN-01"
"53","U.S. Virgin Islands (US Virgin Is) hotels","18","2017-JAN-01"
"54","Honduras","229","2017-JAN-01"
"55","Dominica","15","2017-JAN-01"
"56","Turkey","6820","2017-JAN-01"
"57","China","24597","2017-JAN-01"
"58","Portugal","1516","2017-JAN-01"
"59","Nigeria","572","2017-JAN-01"
"60","Greenland","10","2017-JAN-01"
"61","Sweden","1260","2017-JAN-01"
"62","Sri Lanka","1599","2017-JAN-01"
"63","Egypt","260","2017-JAN-01"
"64","Seychelles","51","2017-JAN-01"
"65","Venezuela","16","2017-JAN-01"
"66","Taiwan","1145","2017-JAN-01"
"67","Morocco","654","2017-JAN-01"
"68","El Salvador","114","2017-JAN-01"
"69","Iraq","90","2017-JAN-01"
"70","Gambia","18","2017-JAN-01"
"71","Malaysia","2093","2017-JAN-01"
"72","Denmark","573","2017-JAN-01"
"73","Spain","9303","2017-JAN-01"
"74","Bahrain","76","2017-JAN-01"
"75","Norway","798","2017-JAN-01"
"76","Nicaragua","289","2017-JAN-01"
"77","Finland","584","2017-JAN-01"
"78","Kenya","454","2017-JAN-01"
"79","Chile","935","2017-JAN-01"
"80","Samoa","19","2017-JAN-01"
"81","Russia (Russian Fed.) hotels","6324","2017-JAN-01"
"82","Oman","120","2017-JAN-01"
"83","Solomon Islands (Solomon Is) hotels","7","2017-JAN-01"
"84","Austria","4503","2017-JAN-01"
"85","Ukraine","1410","2017-JAN-01"
"86","Tonga","13","2017-JAN-01"
"87","Paraguay","103","2017-JAN-01"
"88","Belgium","1353","2017-JAN-01"
"89","Saudi Arabia","698","2017-JAN-01"
"90","Uruguay","386","2017-JAN-01"
"91","Kuwait","52","2017-JAN-01"
"92","South Africa","754","2017-JAN-01"
"93","Andorra","165","2017-JAN-01"
"94","Vietnam","3708","2017-JAN-01"
"95","Tunisia","214","2017-JAN-01"
"96","Romania","1507","2017-JAN-01"
"97","Qatar","89","2017-JAN-01"
"98","Liechtenstein","19","2017-JAN-01"
"99","Ethiopia","208","2017-JAN-01"
"100","Armenia","227","2017-JAN-01"
"101","Netherlands","2221","2017-JAN-01"
"102","Czech Republic (Czech Rep.) hotels","2217","2017-JAN-01"
"103","Cambodia","936","2017-JAN-01"
"104","New Caledonia","20","2017-JAN-01"
"105","Laos","267","2017-JAN-01"
"106","Ecuador","728","2017-JAN-01"
"107","Croatia","793","2017-JAN-01"
"108","St. Maarten","15","2017-JAN-01"
"109","Senegal","129","2017-JAN-01"
"110","Jordan","217","2017-JAN-01"
"111","Montenegro","255","2017-JAN-01"
"112","Pakistan","178","2017-JAN-01"
"113","Guatemala","351","2017-JAN-01"
"114","Cyprus","206","2017-JAN-01"
"115","Cook Islands","4","2017-JAN-01"
"116","Brunei (Brunei D.) hotels","23","2017-JAN-01"
"117","United Arab Emirates (U.A. Emirates) hotels","532","2017-JAN-01"
"118","Slovenia","322","2017-JAN-01"
"119","Madagascar","141","2017-JAN-01"
"120","Luxembourg","182","2017-JAN-01"
"121","Suriname","35","2017-JAN-01"
"122","Slovakia","635","2017-JAN-01"
"123","Poland","2615","2017-JAN-01"
"124","Papua New Guinea (Pap New Guinea) hotels","28","2017-JAN-01"
"125","Nepal","407","2017-JAN-01"
"126","Faroe Islands","6","2017-JAN-01"
"127","Burkina Faso","17","2017-JAN-01"
"128","Angola","52","2017-JAN-01"
"129","Albania","595","2017-JAN-01"
"130","Lithuania","338","2017-JAN-01"
"131","French Polynesia (Fr Polynesia) hotels","29","2017-JAN-01"
"132","Uzbekistan","127","2017-JAN-01"
"133","San Marino","18","2017-JAN-01"
"134","Guinea","11","2017-JAN-01"
"135","Gabon","15","2017-JAN-01"
"136","Cape Verde","65","2017-JAN-01"
"137","Benin","55","2017-JAN-01"
"138","Belarus","162","2017-JAN-01"
"139","Togo","60","2017-JAN-01"
"140","Tajikistan","24","2017-JAN-01"
"141","Macau","60","2017-JAN-01"
"142","Latvia","301","2017-JAN-01"
"143","Bulgaria","2255","2017-JAN-01"
"144","Bosnia and Herzegovina (Bosnia Herz) hotels","282","2017-JAN-01"
"145","Curaçao","38","2017-JAN-01"
"146","Saint Kitts and Nevis (St. Kitts, Nev) hotels","5","2017-JAN-01"
"147","Myanmar","686","2017-JAN-01"
"148","French Guiana","16","2017-JAN-01"
"149","Estonia","226","2017-JAN-01"
"150","Kosovo","57","2017-JAN-01"
"151","Malawi","18","2017-JAN-01"
"152","Kazakhstan","358","2017-JAN-01"
"153","Indonesia","3584","2017-JAN-01"
"154","Hungary","1040","2017-JAN-01"
"155","Bolivia","225","2017-JAN-01"
"156","Azerbaijan","175","2017-JAN-01"
"157","Serbia","374","2017-JAN-01"
"158","Uganda","285","2017-JAN-01"
"159","Namibia","50","2017-JAN-01"
"160","Mozambique","49","2017-JAN-01"
"161","Mongolia","84","2017-JAN-01"
"162","Georgia","828","2017-JAN-01"
"163","Ivory Coast","92","2017-JAN-01"
"164","Chad","7","2017-JAN-01"
"165","Cameroon","86","2017-JAN-01"
"166","Burundi","19","2017-JAN-01"
"167","Crimea","581","2017-JAN-01"
"168","Zambia","50","2017-JAN-01"
"169","Vanuatu","10","2017-JAN-01"
"170","Swaziland","11","2017-JAN-01"
"171","Macedonia","229","2017-JAN-01"
"172","Bhutan","31","2017-JAN-01"
"173","Bangladesh","155","2017-JAN-01"
"174","Rwanda","104","2017-JAN-01"
"175","Northern Mariana Islands (N Mariana Is) hotels","17","2017-JAN-01"
"176","Niue  hotel","1","2017-JAN-01"
"177","Moldova","87","2017-JAN-01"
"178","Mali","19","2017-JAN-01"
"179","Grenada","11","2017-JAN-01"
"180","East Timor","16","2017-JAN-01"
"181","Botswana","29","2017-JAN-01"
"182","Reunion","67","2017-JAN-01"
"183","Palau","12","2017-JAN-01"
"184","Mayotte","4","2017-JAN-01"
"185","Mauritania","27","2017-JAN-01"
"186","Guinea-Bissau","4","2017-JAN-01"
"187","Equatorial Guinea (Eq. Guinea) hotels","7","2017-JAN-01"
"188","Djibouti","10","2017-JAN-01"
"189","Algeria","17","2017-JAN-01"
"190","Puerto Rico","107","2017-JAN-02"
"191","Bermuda","8","2017-JAN-02"
"192","Turks & Caicos Islands (Turks, Ccs Is) hotels","13","2017-JAN-02"
"193","Iceland","211","2017-JAN-02"
"194","Haiti","48","2017-JAN-02"
"195","Barbados","34","2017-JAN-02"
"196","Aruba","14","2017-JAN-02"
