"","Country","Hotels","Date"
"1","Puerto Rico","107","2017-JAN-08"
"2","Bermuda","8","2017-JAN-08"
"3","Turks & Caicos Islands (Turks, Ccs Is) hotels","13","2017-JAN-08"
"4","Iceland","211","2017-JAN-08"
"5","Haiti","48","2017-JAN-08"
"6","Barbados","34","2017-JAN-08"
"7","Saint Barts (St. Barts) hotels","16","2017-JAN-08"
"8","Dominican Republic (Dominican Rep) hotels","261","2017-JAN-08"
"9","Jamaica","131","2017-JAN-08"
"10","Guam","14","2017-JAN-08"
"11","Bahamas","39","2017-JAN-08"
"12","Belize","85","2017-JAN-08"
"13","Singapore","305","2017-JAN-08"
"14","Guadeloupe","40","2017-JAN-08"
"15","Canada","2888","2017-JAN-08"
"16","Aruba","14","2017-JAN-08"
"17","Maldives","72","2017-JAN-08"
"18","Mexico","4752","2017-JAN-08"
"19","Japan","3576","2017-JAN-08"
"20","United Kingdom (the UK) hotels","7486","2017-JAN-08"
"21","Costa Rica","759","2017-JAN-08"
"22","Saint Lucia","18","2017-JAN-08"
"23","Cayman Islands","5","2017-JAN-08"
"24","Panama","273","2017-JAN-08"
"25","Italy","20918","2017-JAN-08"
"26","Monaco","12","2017-JAN-08"
"27","Germany","14505","2017-JAN-08"
"28","U.S. Virgin Islands (US Virgin Is) hotels","18","2017-JAN-08"
"29","Ireland","800","2017-JAN-08"
"30","Israel","451","2017-JAN-08"
"31","India","12376","2017-JAN-08"
"32","Thailand","4002","2017-JAN-08"
"33","Ghana","277","2017-JAN-08"
"34","Philippines","1010","2017-JAN-08"
"35","Martinique","24","2017-JAN-08"
"36","Guyana","17","2017-JAN-08"
"37","Saint Martin","20","2017-JAN-08"
"38","Greece","4773","2017-JAN-08"
"39","France","15328","2017-JAN-08"
"40","New Zealand","355","2017-JAN-08"
"41","South Korea","1397","2017-JAN-08"
"42","Mauritius","90","2017-JAN-08"
"43","Anguilla","6","2017-JAN-08"
"44","Malta","110","2017-JAN-08"
"45","Trinidad and Tobago (Trinidad Tbgo) hotels","26","2017-JAN-08"
"46","Australia","1291","2017-JAN-08"
"47","Peru","1463","2017-JAN-08"
"48","Switzerland","2754","2017-JAN-08"
"49","Fiji","42","2017-JAN-08"
"50","Lebanon","237","2017-JAN-08"
"51","Seychelles","51","2017-JAN-08"
