"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","Stratosphere TowerThe Strip","6.52967","259","207","Las_Vegas_Saturday_20170715","1"
"2","The Venetian Resort Hotel CasinoThe Strip","8.92002","767","399","Las_Vegas_Saturday_20170715","1"
"3","Caesars Palace Las VegasThe Strip","7.6896","848","384","Las_Vegas_Saturday_20170715","1"
"4","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip","8.6825","NA","899","Las_Vegas_Saturday_20170715","1"
"5","Paris Las VegasThe Strip","7.71176","NA","308","Las_Vegas_Saturday_20170715","1"
"6","The Palazzo Resort Hotel CasinoThe Strip","9.11763","1031","539","Las_Vegas_Saturday_20170715","1"
"7","Aria Resort And CasinoThe Strip","8.61062","734","398","Las_Vegas_Saturday_20170715","1"
"8","The Linq Hotel And CasinoThe Strip","7.1664","NA","379","Las_Vegas_Saturday_20170715","1"
"9","Luxor Hotel And CasinoThe Strip","7.03406","378","228","Las_Vegas_Saturday_20170715","1"
"10","Ballys Las VegasThe Strip","7.51529","NA","284","Las_Vegas_Saturday_20170715","1"
"11","Trump International Hotel, Las VegasThe Strip","8.54362","NA","343","Las_Vegas_Saturday_20170715","1"
"12","The MirageThe Strip","8.1967","NA","398","Las_Vegas_Saturday_20170715","1"
"13","Vdara Hotel & SpaThe Strip","8.71454","607","389","Las_Vegas_Saturday_20170715","1"
"14","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelGood:  verified guest reviews Savings CalculationClosewas from$Choose","7.11138","NA","329","Las_Vegas_Saturday_20170715","1"
"15","Excalibur Hotel And CasinoThe Strip","7.13121","333","198","Las_Vegas_Saturday_20170715","1"
"16","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking|Hotel AmenitiesFree ParkingAirport ShuttleBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelVery Good:  verified guest reviewsOn Sale Now","8.11901","249","169","Las_Vegas_Saturday_20170715","1"
"17","New York New York Hotel And CasinoThe Strip","7.71191","NA","334","Las_Vegas_Saturday_20170715","1"
"18","Mgm Grand Hotel CasinoThe Strip","7.61496","561","389","Las_Vegas_Saturday_20170715","1"
"19","Alexis Park All Suite ResortEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelPleasant:  verified guest reviewsOn Sale Now","6.8569","239","127","Las_Vegas_Saturday_20170715","1"
"20","Thunderbird Boutique HotelThe Strip","20. Thunderbird Boutique HotelThe Strip - Northeast MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableHandicapped Rooms/FacilitiesNon SmokingSwimming PoolOutdoor Swimming Pool2 Travelers are considering this hotel 5.026","199","109","Las_Vegas_Saturday_20170715","1"
"21","Harrahs Las VegasThe Strip","7.01239","NA","259","Las_Vegas_Saturday_20170715","1"
"22","Monte Carlo Resort And CasinoThe Strip","7.02019","NA","299","Las_Vegas_Saturday_20170715","1"
"23","Rio Suite Hotel CasinoWest of The Strip MapFree Parking|Hotel AmenitiesFree ParkingBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming Pool Travelers are considering this hotelGood:  verified guest reviewsOn Sale Now","7.11763","470","180","Las_Vegas_Saturday_20170715","1"
"24","Four Seasons Hotel Las VegasThe Strip","9.168","NA","829","Las_Vegas_Saturday_20170715","1"
"25","Circus Circus Hotel, Casino & Theme ParkThe Strip","6.32871","201","135","Las_Vegas_Saturday_20170715","1"
"26","Red Rock Casino Resort SpaSummerlin MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelExcellent:  verified guest reviewsOn Sale Now","8.5464","425","270","Las_Vegas_Saturday_20170715","1"
"27","The Orleans Hotel And CasinoLas Vegas South MapHotel AmenitiesHandicapped Rooms/FacilitiesRestaurant Travelers are considering this hotelVery Good:  verified guest reviewsOn Sale Now","8.0666","407","195","Las_Vegas_Saturday_20170715","1"
"28","La Quinta Inn & Suites Las Vegas Airport North Convention CenterEast of The Strip MapFree Parking, Free Breakfast, Free Internet|Hotel AmenitiesFree InternetFree ParkingFree BreakfastAirport ShuttleBusiness CenterFree Internet In Public AreasFree Internet In RoomFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelPleasant:  verified guest reviewsMEMBER DEALSign InSavings CalculationCloseThis savings compares your price to the second highest price offered by this hotel  days before and after your check in date You could pay lesswas $from$Choose","6.6302","182","119","Las_Vegas_Saturday_20170715","1"
"29","Eastside CanneryBoulder Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesRestaurantSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelVery Good:  verified guest reviewsLimited time offer Rate includes % discount! SAVE%Savings CalculationCloseOnly  rooms leftwas $from$Choose","8.1682","149","119","Las_Vegas_Saturday_20170715","1"
"30","Tuscany Suites & CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelExcellent:  verified guest reviewsOn Sale Now","8.5733","304","155","Las_Vegas_Saturday_20170715","1"
"31","El Cortez Hotel and CasinoDowntown Las Vegas","7.0499","NA","109","Las_Vegas_Saturday_20170715","1"
"32","Hooters Casino HotelThe Strip","32. Hooters Casino HotelThe Strip - Southeast MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSwimming Pool51 Travelers are considering this hotel 5.8917","NA","185","Las_Vegas_Saturday_20170715","1"
"33","Plaza Hotel & CasinoDowntown Las Vegas","6.5290","NA","169","Las_Vegas_Saturday_20170715","1"
"34","Westgate Las Vegas Resort & CasinoLas Vegas Convention Center MapFree Parking|Hotel AmenitiesFree ParkingBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelPleasant:  verified guest reviewsOn Sale Now","6.62422","612","189","Las_Vegas_Saturday_20170715","1"
"35","La Quinta Inn & Suites Las Vegas Airport SouthMcCarran International Airport (LAS) MapFree Parking, Free Breakfast, Free Internet|Hotel AmenitiesFree InternetFree ParkingFree BreakfastAirport ShuttleBusiness CenterFree Internet In Public AreasFree Internet In RoomFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedSwimming PoolOutdoor Swimming PoolPay Later Available+ moreCloseSpecial OffersAvailable on certain rates: Travelers are considering this hotelExcellent:  verified guest reviews Savings CalculationCloseOnly  room leftwas from$Choose","8.9119","NA","149","Las_Vegas_Saturday_20170715","1"
"36","Nobu Hotel At Caesars PalaceThe Strip","7.925","1115","399","Las_Vegas_Saturday_20170715","1"
"37","The Signature At Mgm GrandThe Strip","8.6601","580","399","Las_Vegas_Saturday_20170715","1"
"38","Marriott Vacation Club Grand Chateau  & The Strip","8.948","409","259","Las_Vegas_Saturday_20170715","1"
"39","Mandarin Oriental at CityCenter Las VegasThe Strip","9.437","1749","539","Las_Vegas_Saturday_20170715","1"
"40","Lucky Dragon Hotel and CasinoThe Strip","6.9161","382","349","Las_Vegas_Saturday_20170715","1"
"41","Treasure Island Hotel & CasinoThe Strip","7.82593","347","216","Las_Vegas_Saturday_20170722","2"
"42","Stratosphere TowerThe Strip","6.52967","289","231","Las_Vegas_Saturday_20170722","2"
"43","The Venetian Resort Hotel CasinoThe Strip","8.92002","NA","179","Las_Vegas_Saturday_20170722","2"
"44","Caesars Palace Las VegasThe Strip","7.6896","NA","151","Las_Vegas_Saturday_20170722","2"
"45","Paris Las VegasThe Strip","7.71176","NA","150","Las_Vegas_Saturday_20170722","2"
"46","Aria Resort And CasinoThe Strip","8.61062","NA","160","Las_Vegas_Saturday_20170722","2"
"47","The Linq Hotel And CasinoThe Strip","7.1664","393","164","Las_Vegas_Saturday_20170722","2"
"48","Bellagio Hotel And CasinoThe Strip","8.5534","607","198","Las_Vegas_Saturday_20170722","2"
"49","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip","8.6825","900","399","Las_Vegas_Saturday_20170722","2"
