"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","The Venetian Resort Hotel CasinoThe Strip","8.92008","191","149","Las_Vegas_Saturday_20170722","1"
"2","Paris Las VegasThe Strip","7.71179","NA","138","Las_Vegas_Saturday_20170722","1"
"3","Aria Resort And CasinoThe Strip","8.61063","NA","158","Las_Vegas_Saturday_20170722","1"
"4","The Linq Hotel And CasinoThe Strip","7.1672","429","154","Las_Vegas_Saturday_20170722","1"
"5","Luxor Hotel And CasinoThe Strip","7.03417","332","144","Las_Vegas_Saturday_20170722","1"
"6","Bellagio Hotel And CasinoThe Strip","8.5536","629","198","Las_Vegas_Saturday_20170722","1"
"7","Planet Hollywood Resort And CasinoThe Strip","7.41385","NA","132","Las_Vegas_Saturday_20170722","1"
"8","Ballys Las VegasThe Strip","7.51537","367","178","Las_Vegas_Saturday_20170722","1"
"9","The Palazzo Resort Hotel CasinoThe Strip","9.11767","NA","229","Las_Vegas_Saturday_20170722","1"
"10","Treasure Island Hotel & CasinoThe Strip","7.82597","229","167","Las_Vegas_Saturday_20170722","1"
"11","Encore At Wynn Las VegasThe Strip","8.9305","959","399","Las_Vegas_Saturday_20170722","1"
"12","Mandalay Bay Resort And CasinoThe Strip","8.21107","574","198","Las_Vegas_Saturday_20170722","1"
"13","Vdara Hotel & SpaThe Strip","8.71462","NA","148","Las_Vegas_Saturday_20170722","1"
"14","Excalibur Hotel And CasinoThe Strip","7.13134","326","134","Las_Vegas_Saturday_20170722","1"
"15","New York New York Hotel And CasinoThe Strip","7.71195","367","145","Las_Vegas_Saturday_20170722","1"
"16","Monte Carlo Resort And CasinoThe Strip","7.02026","412","139","Las_Vegas_Saturday_20170722","1"
"17","Flamingo Las VegasThe Strip","6.32229","357","154","Las_Vegas_Saturday_20170722","1"
"18","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip","8.6830","824","304","Las_Vegas_Saturday_20170722","1"
"19","Harrahs Las VegasThe Strip","7.01242","374","149","Las_Vegas_Saturday_20170722","1"
"20","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelGood:  verified guest reviewsOn Sale Now","7.11138","449","139","Las_Vegas_Saturday_20170722","1"
"21","Trump International Hotel, Las VegasThe Strip","8.54373","346","183","Las_Vegas_Saturday_20170722","1"
"22","Wynn Las VegasThe Strip","9.0782","959","399","Las_Vegas_Saturday_20170722","1"
"23","Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas","7.81988","NA","229","Las_Vegas_Saturday_20170722","1"
"24","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking|Hotel AmenitiesFree ParkingAirport ShuttleBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelVery Good:  verified guest reviews Savings CalculationClosewas from$Choose","8.11904","NA","199","Las_Vegas_Saturday_20170722","1"
"25","The MirageThe Strip","8.1968","NA","115","Las_Vegas_Saturday_20170722","1"
"26","Mgm Grand Hotel CasinoThe Strip","7.61502","445","145","Las_Vegas_Saturday_20170722","1"
"27","Plaza Hotel & CasinoDowntown Las Vegas","6.5291","212","149","Las_Vegas_Saturday_20170722","1"
"28","Alexis Park All Suite ResortEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelPleasant:  verified guest reviews Savings CalculationCloseOnly  room leftwas from$Choose","6.8573","NA","209","Las_Vegas_Saturday_20170722","1"
"29","Thunderbird Boutique HotelThe Strip","29. Thunderbird Boutique HotelThe Strip - Northeast MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableHandicapped Rooms/FacilitiesNon SmokingSwimming PoolOutdoor Swimming PoolFree Cancellation Available2 Travelers are considering this hotel 5.026","287","135","Las_Vegas_Saturday_20170722","1"
"30","Circus Circus Hotel, Casino & Theme ParkThe Strip","6.32882","313","96","Las_Vegas_Saturday_20170722","1"
