"","hotel_name","score","presaleprice","price","test.V2"
"1","Excalibur Hotel And CasinoThe Strip"," 7.12929","305","162.50","Las_Vegas_Saturday_20170401"
"2","The Venetian Resort Hotel CasinoThe Strip"," 8.91926","529","299","Las_Vegas_Saturday_20170401"
"3","The Palazzo Resort Hotel CasinoThe Strip","3. The Palazzo Resort Hotel CasinoThe Strip - NortheastFree InternetFree Cancellation Available153 People Viewing!1 Room Left! Book Now! Savings CalculationClosewas 0from$399Choose","NA","399","Las_Vegas_Saturday_20170401"
"4","Bellagio Hotel And CasinoThe Strip"," 8.5476","626","228.65","Las_Vegas_Saturday_20170401"
"5","Treasure Island Hotel & CasinoThe Strip"," 7.82476","319","178.46","Las_Vegas_Saturday_20170401"
"6","Aria Resort And CasinoThe Strip"," 8.61018","429","220.15","Las_Vegas_Saturday_20170401"
"7","Mandalay Bay Resort And CasinoThe Strip"," 8.21027","505","225.25","Las_Vegas_Saturday_20170401"
"8","The Linq Hotel And CasinoThe Strip"," 7.1564","439","199","Las_Vegas_Saturday_20170401"
"9","Flamingo Las VegasThe Strip"," 6.32108","389","170.05","Las_Vegas_Saturday_20170401"
"10","Paris Las VegasThe Strip"," 7.71087","328","189","Las_Vegas_Saturday_20170401"
"11","Trump International Hotel, Las VegasThe Strip"," 8.93368","419","164.25","Las_Vegas_Saturday_20170401"
"12","Mgm Grand Hotel CasinoThe Strip"," 7.61388","329","169.15","Las_Vegas_Saturday_20170401"
"13","Luxor Hotel And CasinoThe Strip"," 7.03205","365","179.22","Las_Vegas_Saturday_20170401"
"14","The MirageThe Strip"," 8.1906","424","177.60","Las_Vegas_Saturday_20170401"
"15","Rio Suite Hotel CasinoWest of The StripFree ParkingFree Cancellation Available+ moreCloseSpecial OffersAvailable on certain rates: People Viewing!Room Left! Book Now!CLICK HERE to sign in and unlock a lower price! Good:  reviews Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last  dayswas $from$Choose"," 7.11674","290","140","Las_Vegas_Saturday_20170401"
"16","Hard Rock Hotel And CasinoEast of The StripFree Internet, Free ParkingFree Cancellation Available People Viewing!On Sale Now"," 7.11083","299","159","Las_Vegas_Saturday_20170401"
"17","Monte Carlo Resort And CasinoThe Strip"," 7.01854","298","179.22","Las_Vegas_Saturday_20170401"
"18","Wynn Las VegasThe Strip"," 9.0748","409","242","Las_Vegas_Saturday_20170401"
"19","South Point Hotel Casino SpaMcCarran International Airport (LAS)Free ParkingFree Cancellation Available People Viewing!Very Good:  reviews Savings CalculationClosewas from$Choose"," 8.01847","NA","169","Las_Vegas_Saturday_20170401"
"20","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip"," 8.6755","849.NA","849.95","Las_Vegas_Saturday_20170401"
"21","Planet Hollywood Resort And CasinoThe Strip"," 7.41312","299","189.05","Las_Vegas_Saturday_20170401"
"22","Downtown Grand, an Ascend HotelDowntown Las Vegas"," 8.2927","NA","155","Las_Vegas_Saturday_20170401"
"23","Stratosphere TowerThe Strip"," 6.52822","241","168.74","Las_Vegas_Saturday_20170401"
"24","Vdara Hotel & Spa at CityCenter Las VegasThe Strip"," 8.61342","611","219.30","Las_Vegas_Saturday_20170401"
