"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","Luxor Hotel And CasinoThe Strip"," 7.03207","365","149","Las_Vegas_Saturday_20170401","1"
"2","The Venetian Resort Hotel CasinoThe Strip"," 8.91931","481","229","Las_Vegas_Saturday_20170401","1"
"3","The Palazzo Resort Hotel CasinoThe Strip","3. The Palazzo Resort Hotel CasinoThe Strip - Northeast MapFree Internet170 People Viewing!3Rooms Left! Book Now!On Sale Now -> Save 42% on this stay Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last 30 days.was $514from$299Choose","514","299","Las_Vegas_Saturday_20170401","1"
"4","Bellagio Hotel And CasinoThe Strip"," 8.5478","444","279","Las_Vegas_Saturday_20170401","1"
"5","Treasure Island Hotel & CasinoThe Strip"," 7.82480","319","167","Las_Vegas_Saturday_20170401","1"
"6","Mandalay Bay Resort And CasinoThe Strip"," 8.21029","505","205","Las_Vegas_Saturday_20170401","1"
"7","Flamingo Las VegasThe Strip"," 6.32111","389","169","Las_Vegas_Saturday_20170401","1"
"8","Paris Las VegasThe Strip"," 7.71093","328","168","Las_Vegas_Saturday_20170401","1"
"9","Caesars Palace Las VegasThe Strip"," 7.6837","579","229","Las_Vegas_Saturday_20170401","1"
"10","Trump International Hotel, Las VegasThe Strip"," 8.93509","419","171","Las_Vegas_Saturday_20170401","1"
"11","The Linq Hotel And CasinoThe Strip"," 7.1564","439","209","Las_Vegas_Saturday_20170401","1"
"12","Ballys Las VegasThe Strip"," 7.51439","398","178","Las_Vegas_Saturday_20170401","1"
"13","Mgm Grand Hotel CasinoThe Strip"," 7.61393","329","179","Las_Vegas_Saturday_20170401","1"
"14","Excalibur Hotel And CasinoThe Strip"," 7.12935","305","165","Las_Vegas_Saturday_20170401","1"
"15","The MirageThe Strip"," 8.1908","424","179","Las_Vegas_Saturday_20170401","1"
"16","Rio Suite Hotel CasinoWest of The Strip MapFree Parking People Viewing!Rooms Left! Book Now!On Sale Now"," 7.11679","290","189","Las_Vegas_Saturday_20170401","1"
"17","Wynn Las VegasThe Strip"," 9.0750","409","269","Las_Vegas_Saturday_20170401","1"
"18","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking People Viewing!On Sale Now"," 7.11083","299","169","Las_Vegas_Saturday_20170401","1"
"19","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking People Viewing!Very Good:  reviews Savings CalculationClosewas from$Choose"," 8.01849","NA","179","Las_Vegas_Saturday_20170401","1"
