"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","Vdara Hotel & SpaThe Strip","8.61455","617","299","Las_Vegas_Saturday_20170715","1"
"2","Mandalay Bay Resort And CasinoThe Strip","8.21103","422","358","Las_Vegas_Saturday_20170715","1"
"3","Paris Las VegasThe Strip","7.71178","1199","398","Las_Vegas_Saturday_20170715","1"
"4","The Linq Hotel And CasinoThe Strip","7.1667","NA","289","Las_Vegas_Saturday_20170715","1"
"5","Flamingo Las VegasThe Strip","6.32223","NA","269","Las_Vegas_Saturday_20170715","1"
"6","Aria Resort And CasinoThe Strip","8.61062","NA","471","Las_Vegas_Saturday_20170715","1"
"7","Luxor Hotel And CasinoThe Strip","7.03408","NA","281","Las_Vegas_Saturday_20170715","1"
"8","New York New York Hotel And CasinoThe Strip","7.71191","406","259","Las_Vegas_Saturday_20170715","1"
"9","Ballys Las VegasThe Strip","7.51532","NA","244","Las_Vegas_Saturday_20170715","1"
"10","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelGood:  verified guest reviews Savings CalculationClosewas from$Choose","7.11138","NA","299","Las_Vegas_Saturday_20170715","1"
"11","Excalibur Hotel And CasinoThe Strip","7.13125","321","272","Las_Vegas_Saturday_20170715","1"
"12","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking|Hotel AmenitiesFree ParkingAirport ShuttleBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelVery Good:  verified guest reviewsOn Sale Now","8.11902","279","189","Las_Vegas_Saturday_20170715","1"
"13","The MirageThe Strip","8.1968","NA","379","Las_Vegas_Saturday_20170715","1"
"14","Trump International Hotel, Las VegasThe Strip","8.54363","NA","359","Las_Vegas_Saturday_20170715","1"
"15","Monte Carlo Resort And CasinoThe Strip","7.02020","354","328","Las_Vegas_Saturday_20170715","1"
"16","Alexis Park All Suite ResortEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelPleasant:  verified guest reviews Savings CalculationCloseOnly  room leftwas from$Choose","6.8571","NA","179","Las_Vegas_Saturday_20170715","1"
"17","Mgm Grand Hotel CasinoThe Strip","7.61496","411","349","Las_Vegas_Saturday_20170715","1"
"18","Thunderbird Boutique HotelThe Strip","18. Thunderbird Boutique HotelThe Strip - Northeast MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableHandicapped Rooms/FacilitiesNon SmokingSwimming PoolOutdoor Swimming Pool26 Travelers are considering this hotel 5.026","239","109","Las_Vegas_Saturday_20170715","1"
"19","Plaza Hotel & CasinoDowntown Las Vegas","6.5291","NA","159","Las_Vegas_Saturday_20170715","1"
"20","Harrahs Las VegasThe Strip","7.01240","NA","249","Las_Vegas_Saturday_20170715","1"
"21","Rio Suite Hotel CasinoWest of The Strip MapFree Parking|Hotel AmenitiesFree ParkingBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming Pool Travelers are considering this hotelGood:  verified guest reviewsOn Sale Now","7.11764","531","289","Las_Vegas_Saturday_20170715","1"
"22","Circus Circus Hotel, Casino & Theme ParkThe Strip","6.32876","224","156","Las_Vegas_Saturday_20170715","1"
"23","Oasis At The Gold Spike HotelDowntown Las Vegas","23. Oasis At The Gold Spike HotelDowntown Las Vegas - Fremont Street Area MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSwimming PoolOutdoor Swimming Pool42 Travelers are considering this hotel 5.794","233","139","Las_Vegas_Saturday_20170715","1"
"24","Four Seasons Hotel Las VegasThe Strip","9.168","879","609","Las_Vegas_Saturday_20170715","1"
"25","Actual room may vary","0}EXPRESS DEALSAVE22%SAVE 22%$281Choose",""",""minStrikePrice"":""","281","Las_Vegas_Saturday_20170715","1"
"26","Downtown Grand, an Ascend HotelDowntown Las Vegas","8.21015","377","185","Las_Vegas_Saturday_20170715","1"
"27","La Quinta Inn & Suites Las Vegas Airport North Convention CenterEast of The Strip MapFree Parking, Free Breakfast, Free Internet|Hotel AmenitiesFree InternetFree ParkingFree BreakfastAirport ShuttleBusiness CenterFree Internet In Public AreasFree Internet In RoomFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedSwimming PoolOutdoor Swimming PoolPay Later Available Travelers are considering this hotelPleasant:  verified guest reviews Savings CalculationCloseOnly  room leftwas from$Choose","6.6302","NA","139","Las_Vegas_Saturday_20170715","1"
"28","El Cortez Hotel and CasinoDowntown Las Vegas","7.0500","NA","119","Las_Vegas_Saturday_20170715","1"
