"","Country","Hotels","Date"
"1","Puerto Rico","557",2017-03-24
"2","Bermuda","33",2017-03-24
"3","Haiti","87",2017-03-24
"4","Iceland","1543",2017-03-24
"5","Saint Barts (St. Barts) hotels","147",2017-03-24
"6","Canada","11469",2017-03-24
"7","Turks & Caicos Islands (Turks, Ccs Is) hotels","99",2017-03-24
"8","Aruba","350",2017-03-24
"9","Guam","36",2017-03-24
"10","Cuba","76",2017-03-24
"11","Singapore","483",2017-03-24
"12","Barbados","392",2017-03-24
"13","Bahamas","226",2017-03-24
"14","Jamaica","863",2017-03-24
"15","United Kingdom (the UK) hotels","44909",2017-03-24
"16","Martinique","285",2017-03-24
"17","Mexico","11774",2017-03-24
"18","Costa Rica","3320",2017-03-24
"19","Ireland","4471",2017-03-24
"20","Panama","935",2017-03-24
"21","Maldives","585",2017-03-24
"22","Italy","136727",2017-03-24
"23","Saint Martin","297",2017-03-24
"24","Israel","3055",2017-03-24
"25","Guyana","26",2017-03-24
"26","India","26035",2017-03-24
"27","Cayman Islands","91",2017-03-24
"28","Guadeloupe","624",2017-03-24
"29","Germany","46196",2017-03-24
"30","U.S. Virgin Islands (US Virgin Is) hotels","199",2017-03-24
"31","Malta","1115",2017-03-24
"32","Denmark","23340",2017-03-24
"33","Saint Lucia","166",2017-03-24
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","142",2017-03-24
"35","New Zealand","5104",2017-03-24
"36","Dominican Republic (Dominican Rep) hotels","1609",2017-03-24
"37","Belize","469",2017-03-24
"38","Japan","11842",2017-03-24
"39","Monaco","29",2017-03-24
"40","Macau","67",2017-03-24
"41","South Korea","4767",2017-03-24
"42","Greenland","25",2017-03-24
"43","Curaçao","377",2017-03-24
"44","Philippines","3681",2017-03-24
"45","Ghana","764",2017-03-24
"46","Belgium","7247",2017-03-24
"47","Greece","26055",2017-03-24
"48","Finland","2664",2017-03-24
"49","Australia","16471",2017-03-24
"50","Turkey","14931",2017-03-24
"51","Fiji","212",2017-03-24
"52","Nigeria","861",2017-03-24
"53","France","73331",2017-03-24
"54","Peru","4644",2017-03-24
