"","Country","Hotels","Date"
"52","Nigeria","836",2017-03-21
"53","France","73041",2017-03-21
"54","Peru","4624",2017-03-21
"55","Dominica","112",2017-03-21
"56","Austria","24479",2017-03-21
"57","Seychelles","455",2017-03-21
"58","Bahrain","156",2017-03-21
"59","Sweden","6948",2017-03-21
"60","Oman","312",2017-03-21
"61","Croatia","67485",2017-03-21
"62","Tanzania","1380",2017-03-21
"63","Colombia","7413",2017-03-21
"64","Solomon Islands (Solomon Is) hotels","22",2017-03-21
"65","Argentina","11261",2017-03-21
"66","St. Maarten","186",2017-03-21
"67","Luxembourg","319",2017-03-21
"68","Armenia","1292",2017-03-21
"69","Portugal","19784",2017-03-21
"70","Mauritius","1032",2017-03-21
"71","Malaysia","6073",2017-03-21
"72","Gambia","99",2017-03-21
"73","Tonga","60",2017-03-21
"74","Thailand","18494",2017-03-21
"75","Iraq","92",2017-03-21
"76","Norway","4271",2017-03-21
"77","Liechtenstein","37",2017-03-21
"78","Egypt","1472",2017-03-21
"79","South Africa","11109",2017-03-21
"80","Samoa","68",2017-03-21
"81","Qatar","126",2017-03-21
"82","New Caledonia","44",2017-03-21
"83","Ethiopia","391",2017-03-21
"84","Taiwan","5140",2017-03-21
"85","Switzerland","10986",2017-03-21
"86","Slovenia","3283",2017-03-21
"87","Spain","64368",2017-03-21
"88","Guatemala","685",2017-03-21
"89","Ecuador","2287",2017-03-21
"90","Jordan","528",2017-03-21
"91","Chile","8697",2017-03-21
"92","Cyprus","3628",2017-03-21
"93","Tunisia","638",2017-03-21
"94","Nicaragua","758",2017-03-21
"95","United Arab Emirates (U.A. Emirates) hotels","1624",2017-03-21
"96","Faroe Islands","33",2017-03-21
"97","El Salvador","228",2017-03-21
"98","Anguilla","56",2017-03-21
"99","Sri Lanka","8014",2017-03-21
"100","China","47323",2017-03-21
"101","Azerbaijan","616",2017-03-21
"102","Poland","22502",2017-03-21
"103","Andorra","478",2017-03-21
"104","Montenegro","5098",2017-03-21
"105","Vanuatu","156",2017-03-21
"106","Saudi Arabia","2284",2017-03-21
"107","Hungary","11065",2017-03-21
"108","Albania","1741",2017-03-21
"109","Uruguay","1886",2017-03-21
"110","Ukraine","6433",2017-03-21
"111","Rwanda","222",2017-03-21
"112","Netherlands","10767",2017-03-21
"113","Kenya","1856",2017-03-21
"114","Brunei (Brunei D.) hotels","31",2017-03-21
"115","Senegal","437",2017-03-21
"116","Kuwait","129",2017-03-21
"117","Cape Verde","420",2017-03-21
"118","Bolivia","571",2017-03-21
"119","Benin","112",2017-03-21
"120","Russia (Russian Fed.) hotels","37101",2017-03-21
"121","Niue","7",2017-03-21
"122","Mozambique","196",2017-03-21
"123","Morocco","4843",2017-03-21
"124","Madagascar","312",2017-03-21
"125","Lithuania","2927",2017-03-21
"126","Indonesia","12500",2017-03-21
"127","Czech Republic (Czech Rep.) hotels","11230",2017-03-21
"128","Cook Islands","168",2017-03-21
"129","San Marino","32",2017-03-21
"130","Pakistan","278",2017-03-21
"131","Moldova","380",2017-03-21
"132","Micronesia","5",2017-03-21
"133","Bulgaria","8226",2017-03-21
"134","Romania","8755",2017-03-21
"135","Guinea","19",2017-03-21
"136","French Polynesia (Fr Polynesia) hotels","266",2017-03-21
"137","Vietnam","7581",2017-03-21
"138","Venezuela","36",2017-03-21
"139","Suriname","105",2017-03-21
"140","Paraguay","217",2017-03-21
"141","Laos","935",2017-03-21
"142","Gabon","38",2017-03-21
"143","Estonia","2543",2017-03-21
"144","Belarus","2562",2017-03-21
"145","Angola","93",2017-03-21
"146","Swaziland","34",2017-03-21
"147","Slovakia","4009",2017-03-21
"148","Papua New Guinea (Pap New Guinea) hotels","44",2017-03-21
"149","Northern Mariana Islands (N Mariana Is) hotels","43",2017-03-21
"150","Mongolia","159",2017-03-21
"151","Mauritania","51",2017-03-21
"152","Honduras","492",2017-03-21
"153","French Guiana","31",2017-03-21
"154","Cameroon","189",2017-03-21
"155","Bosnia and Herzegovina (Bosnia Herz) hotels","2470",2017-03-21
"156","Bhutan","58",2017-03-21
"157","Crimea","4652",2017-03-21
"158","Tajikistan","80",2017-03-21
"159","Reunion","349",2017-03-21
"160","Malawi","80",2017-03-21
"161","Kyrgyzstan","503",2017-03-21
"162","Guinea-Bissau","4",2017-03-21
"163","Cambodia","2415",2017-03-21
"164","Botswana","185",2017-03-21
"165","Kosovo","127",2017-03-21
"166","Uzbekistan","222",2017-03-21
"167","Uganda","636",2017-03-21
"168","Lebanon","386",2017-03-21
"169","Latvia","2152",2017-03-21
"170","Kazakhstan","1492",2017-03-21
"171","Gibraltar","16",2017-03-21
"172","Ivory Coast","272",2017-03-21
"173","Chad","10",2017-03-21
"174","Serbia","3617",2017-03-21
"175","Togo","113",2017-03-21
"176","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35",2017-03-21
"177","Namibia","437",2017-03-21
"178","Myanmar","1118",2017-03-21
"179","Mayotte","9",2017-03-21
"180","Libya","4",2017-03-21
"181","Grenada","60",2017-03-21
"182","Equatorial Guinea (Eq. Guinea) hotels","8",2017-03-21
"183","Djibouti","14",2017-03-21
"184","Burundi","28",2017-03-21
"185","Algeria","59",2017-03-21
