"","Country","Hotels","Date"
"1","Puerto Rico","553",2017-03-21
"2","Bermuda","33",2017-03-21
"3","Haiti","87",2017-03-21
"4","Iceland","1538",2017-03-21
"5","Saint Barts (St. Barts) hotels","144",2017-03-21
"6","Canada","11404",2017-03-21
"7","Turks & Caicos Islands (Turks, Ccs Is) hotels","98",2017-03-21
"8","Aruba","350",2017-03-21
"9","Guam","37",2017-03-21
"10","Cuba","76",2017-03-21
"11","Singapore","481",2017-03-21
"12","Barbados","393",2017-03-21
"13","Bahamas","225",2017-03-21
"14","Jamaica","859",2017-03-21
"15","United Kingdom (the UK) hotels","44764",2017-03-21
"16","Martinique","283",2017-03-21
"17","Mexico","11715",2017-03-21
"18","Costa Rica","3305",2017-03-21
"19","Ireland","4450",2017-03-21
"20","Panama","935",2017-03-21
"21","Maldives","581",2017-03-21
"22","Italy","136065",2017-03-21
"23","Saint Martin","294",2017-03-21
"24","Israel","3037",2017-03-21
"25","Guyana","26",2017-03-21
"26","India","25919",2017-03-21
"27","Cayman Islands","90",2017-03-21
"28","Guadeloupe","620",2017-03-21
"29","Germany","45816",2017-03-21
"30","U.S. Virgin Islands (US Virgin Is) hotels","199",2017-03-21
"31","Malta","1110",2017-03-21
"32","Denmark","23314",2017-03-21
"33","Saint Lucia","164",2017-03-21
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","141",2017-03-21
"35","New Zealand","5083",2017-03-21
"36","Dominican Republic (Dominican Rep) hotels","1579",2017-03-21
"37","Belize","461",2017-03-21
"38","Japan","11740",2017-03-21
"39","Monaco","29",2017-03-21
"40","Macau","67",2017-03-21
"41","South Korea","4708",2017-03-21
"42","Greenland","24",2017-03-21
"43","Curaçao","377",2017-03-21
"44","Philippines","3624",2017-03-21
"45","Ghana","749",2017-03-21
"46","Belgium","7229",2017-03-21
"47","Greece","25930",2017-03-21
"48","Finland","2660",2017-03-21
"49","Australia","16402",2017-03-21
"50","Turkey","14851",2017-03-21
"51","Fiji","212",2017-03-21
