"","Country","Hotels","Date"
"1","Puerto Rico","552",2017-03-20
"2","Bermuda","33",2017-03-20
"3","Haiti","87",2017-03-20
"4","Iceland","1537",2017-03-20
"5","Turks & Caicos Islands (Turks, Ccs Is) hotels","98",2017-03-20
"6","Saint Barts (St. Barts) hotels","144",2017-03-20
"7","Canada","11397",2017-03-20
"8","Jamaica","857",2017-03-20
"9","Guam","37",2017-03-20
"10","Barbados","393",2017-03-20
"11","Singapore","481",2017-03-20
"12","Aruba","350",2017-03-20
"13","Bahamas","224",2017-03-20
"14","Cuba","76",2017-03-20
"15","Costa Rica","3305",2017-03-20
"16","United Kingdom (the UK) hotels","44748",2017-03-20
"17","Mexico","11713",2017-03-20
"18","Martinique","282",2017-03-20
"19","Italy","136025",2017-03-20
"20","Maldives","581",2017-03-20
"21","Panama","934",2017-03-20
"22","Cayman Islands","90",2017-03-20
"23","Saint Martin","294",2017-03-20
"24","Ireland","4447",2017-03-20
"25","Guadeloupe","620",2017-03-20
"26","Israel","3039",2017-03-20
"27","Guyana","26",2017-03-20
"28","U.S. Virgin Islands (US Virgin Is) hotels","207",2017-03-20
"29","India","25944",2017-03-20
"30","Germany","45803",2017-03-20
"31","Saint Lucia","164",2017-03-20
"32","Dominican Republic (Dominican Rep) hotels","1579",2017-03-20
"33","Japan","11732",2017-03-20
"34","Ghana","749",2017-03-20
"35","Malta","1110",2017-03-20
"36","Denmark","23316",2017-03-20
"37","Belize","461",2017-03-20
"38","Trinidad and Tobago (Trinidad Tbgo) hotels","141",2017-03-20
"39","South Korea","4715",2017-03-20
"40","Greenland","24",2017-03-20
"41","Philippines","3619",2017-03-20
"42","Monaco","29",2017-03-20
"43","Curaçao","377",2017-03-20
"44","New Zealand","5080",2017-03-20
"45","Turkey","14855",2017-03-20
"46","Nigeria","840",2017-03-20
"47","Seychelles","455",2017-03-20
"48","Belgium","7230",2017-03-20
"49","France","73024",2017-03-20
"50","Greece","25927",2017-03-20
"51","Macau","67",2017-03-20
"52","Finland","2660",2017-03-20
"53","Australia","16395",2017-03-20
"54","Dominica","112",2017-03-20
"55","Peru","4628",2017-03-20
"56","Austria","24480",2017-03-20
"57","Guatemala","684",2017-03-20
"58","Colombia","7413",2017-03-20
"59","Tanzania","1378",2017-03-20
"60","Sweden","6947",2017-03-20
"61","Solomon Islands (Solomon Is) hotels","22",2017-03-20
"62","Oman","311",2017-03-20
"63","Fiji","212",2017-03-20
"64","Bahrain","156",2017-03-20
"65","Argentina","11260",2017-03-20
"66","Mauritius","1031",2017-03-20
"67","Ethiopia","391",2017-03-20
"68","Qatar","126",2017-03-20
"69","Portugal","19763",2017-03-20
"70","Gambia","99",2017-03-20
"71","Croatia","67469",2017-03-20
