"","Country","Hotels","Date"
"1","Puerto Rico","553",2017-03-22
"2","Bermuda","33",2017-03-22
"3","Haiti","87",2017-03-22
"4","Iceland","1538",2017-03-22
"5","Saint Barts (St. Barts) hotels","144",2017-03-22
"6","Canada","11403",2017-03-22
"7","Turks & Caicos Islands (Turks, Ccs Is) hotels","98",2017-03-22
"8","Aruba","350",2017-03-22
"9","Guam","37",2017-03-22
"10","Cuba","76",2017-03-22
"11","Singapore","481",2017-03-22
"12","Barbados","393",2017-03-22
"13","Bahamas","225",2017-03-22
"14","Jamaica","859",2017-03-22
"15","United Kingdom (the UK) hotels","44776",2017-03-22
"16","Martinique","283",2017-03-22
"17","Mexico","11715",2017-03-22
"18","Costa Rica","3310",2017-03-22
"19","Ireland","4450",2017-03-22
"20","Panama","935",2017-03-22
"21","Maldives","581",2017-03-22
"22","Italy","136085",2017-03-22
"23","Saint Martin","294",2017-03-22
"24","Israel","3037",2017-03-22
"25","Guyana","26",2017-03-22
"26","India","25932",2017-03-22
"27","Cayman Islands","90",2017-03-22
"28","Guadeloupe","620",2017-03-22
"29","Germany","45823",2017-03-22
"30","U.S. Virgin Islands (US Virgin Is) hotels","207",2017-03-22
"31","Malta","1110",2017-03-22
"32","Denmark","23314",2017-03-22
"33","Saint Lucia","164",2017-03-22
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","141",2017-03-22
"35","New Zealand","5083",2017-03-22
"36","Dominican Republic (Dominican Rep) hotels","1579",2017-03-22
"37","Belize","461",2017-03-22
"38","Japan","11744",2017-03-22
"39","Monaco","29",2017-03-22
"40","Macau","67",2017-03-22
"41","South Korea","4713",2017-03-22
"42","Greenland","24",2017-03-22
"43","Curaçao","377",2017-03-22
"44","Philippines","3629",2017-03-22
"45","Ghana","749",2017-03-22
"46","Belgium","7229",2017-03-22
"47","Greece","25938",2017-03-22
"48","Finland","2661",2017-03-22
"49","Australia","16404",2017-03-22
"50","Turkey","14856",2017-03-22
"51","Fiji","212",2017-03-22
"52","Nigeria","838",2017-03-22
"53","France","73061",2017-03-22
"54","Peru","4623",2017-03-22
"55","Dominica","112",2017-03-22
"56","Austria","24484",2017-03-22
"57","Seychelles","455",2017-03-22
"58","Bahrain","156",2017-03-22
"59","Sweden","6949",2017-03-22
"60","Oman","312",2017-03-22
"61","Croatia","67497",2017-03-22
"62","Tanzania","1378",2017-03-22
"63","Colombia","7415",2017-03-22
"64","Solomon Islands (Solomon Is) hotels","22",2017-03-22
"65","Argentina","11260",2017-03-22
"66","St. Maarten","186",2017-03-22
"67","Luxembourg","319",2017-03-22
"68","Armenia","1292",2017-03-22
"69","Portugal","19784",2017-03-22
"70","Mauritius","1032",2017-03-22
"71","Malaysia","6077",2017-03-22
"72","Gambia","99",2017-03-22
"73","Tonga","60",2017-03-22
"74","Thailand","18500",2017-03-22
"75","Iraq","92",2017-03-22
"76","Norway","4271",2017-03-22
"77","Liechtenstein","37",2017-03-22
"78","Egypt","1475",2017-03-22
"79","South Africa","11119",2017-03-22
"80","Samoa","68",2017-03-22
"81","Qatar","126",2017-03-22
"82","New Caledonia","43",2017-03-22
"83","Ethiopia","391",2017-03-22
"84","Taiwan","5141",2017-03-22
"85","Switzerland","10988",2017-03-22
"86","Slovenia","3283",2017-03-22
"87","Spain","64381",2017-03-22
"88","Guatemala","685",2017-03-22
"89","Ecuador","2287",2017-03-22
"90","Jordan","528",2017-03-22
"91","Chile","8697",2017-03-22
"92","Cyprus","3632",2017-03-22
"93","Tunisia","640",2017-03-22
"94","Nicaragua","758",2017-03-22
"95","United Arab Emirates (U.A. Emirates) hotels","1622",2017-03-22
"96","Faroe Islands","33",2017-03-22
"97","El Salvador","228",2017-03-22
"98","Anguilla","56",2017-03-22
"99","Sri Lanka","8002",2017-03-22
"100","China","47349",2017-03-22
"101","Azerbaijan","617",2017-03-22
"102","Poland","22507",2017-03-22
"103","Andorra","478",2017-03-22
"104","Montenegro","5101",2017-03-22
"105","Vanuatu","156",2017-03-22
"106","Saudi Arabia","2289",2017-03-22
"107","Hungary","11066",2017-03-22
"108","Albania","1741",2017-03-22
"109","Uruguay","1887",2017-03-22
"110","Ukraine","6438",2017-03-22
"111","Rwanda","222",2017-03-22
"112","Netherlands","10769",2017-03-22
"113","Kenya","1857",2017-03-22
"114","Brunei (Brunei D.) hotels","31",2017-03-22
"115","Senegal","437",2017-03-22
"116","Kuwait","129",2017-03-22
"117","Cape Verde","420",2017-03-22
"118","Bolivia","571",2017-03-22
"119","Benin","112",2017-03-22
"120","Russia (Russian Fed.) hotels","37135",2017-03-22
"121","Niue","7",2017-03-22
"122","Mozambique","196",2017-03-22
"123","Morocco","4843",2017-03-22
"124","Madagascar","311",2017-03-22
"125","Lithuania","2927",2017-03-22
"126","Indonesia","12516",2017-03-22
"127","Czech Republic (Czech Rep.) hotels","11233",2017-03-22
"128","Cook Islands","168",2017-03-22
"129","San Marino","32",2017-03-22
"130","Pakistan","279",2017-03-22
"131","Moldova","380",2017-03-22
"132","Micronesia","5",2017-03-22
"133","Bulgaria","8228",2017-03-22
"134","Romania","8757",2017-03-22
"135","Guinea","19",2017-03-22
"136","French Polynesia (Fr Polynesia) hotels","267",2017-03-22
"137","Vietnam","7582",2017-03-22
"138","Venezuela","36",2017-03-22
"139","Suriname","105",2017-03-22
"140","Paraguay","217",2017-03-22
"141","Laos","936",2017-03-22
"142","Gabon","38",2017-03-22
"143","Estonia","2544",2017-03-22
"144","Belarus","2562",2017-03-22
"145","Angola","93",2017-03-22
"146","Swaziland","34",2017-03-22
"147","Slovakia","4009",2017-03-22
"148","Papua New Guinea (Pap New Guinea) hotels","44",2017-03-22
"149","Northern Mariana Islands (N Mariana Is) hotels","44",2017-03-22
"150","Mongolia","160",2017-03-22
"151","Mauritania","51",2017-03-22
"152","Honduras","492",2017-03-22
"153","French Guiana","31",2017-03-22
"154","Cameroon","189",2017-03-22
"155","Bosnia and Herzegovina (Bosnia Herz) hotels","2472",2017-03-22
"156","Bhutan","58",2017-03-22
"157","Crimea","4652",2017-03-22
"158","Tajikistan","80",2017-03-22
"159","Reunion","349",2017-03-22
"160","Malawi","80",2017-03-22
"161","Kyrgyzstan","503",2017-03-22
"162","Guinea-Bissau","4",2017-03-22
"163","Cambodia","2417",2017-03-22
"164","Botswana","185",2017-03-22
"165","Kosovo","127",2017-03-22
"166","Uzbekistan","222",2017-03-22
"167","Uganda","641",2017-03-22
"168","Lebanon","386",2017-03-22
"169","Latvia","2155",2017-03-22
"170","Kazakhstan","1492",2017-03-22
"171","Gibraltar","16",2017-03-22
"172","Ivory Coast","272",2017-03-22
"173","Chad","10",2017-03-22
"174","Serbia","3619",2017-03-22
"175","Togo","113",2017-03-22
"176","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35",2017-03-22
"177","Namibia","438",2017-03-22
"178","Myanmar","1118",2017-03-22
"179","Mayotte","9",2017-03-22
"180","Libya","4",2017-03-22
"181","Grenada","60",2017-03-22
"182","Equatorial Guinea (Eq. Guinea) hotels","8",2017-03-22
"183","Djibouti","14",2017-03-22
"184","Burundi","28",2017-03-22
"185","Algeria","59",2017-03-22
