"","Country","Hotels","Date"
"1","Puerto Rico","553",2017-03-23
"2","Bermuda","33",2017-03-23
"3","Haiti","87",2017-03-23
"4","Iceland","1538",2017-03-23
"5","Saint Barts (St. Barts) hotels","144",2017-03-23
"6","Canada","11403",2017-03-23
"7","Turks & Caicos Islands (Turks, Ccs Is) hotels","98",2017-03-23
"8","Aruba","350",2017-03-23
"9","Guam","37",2017-03-23
"10","Cuba","76",2017-03-23
"11","Singapore","481",2017-03-23
"12","Barbados","393",2017-03-23
"13","Bahamas","225",2017-03-23
"14","Jamaica","859",2017-03-23
"15","United Kingdom (the UK) hotels","44764",2017-03-23
"16","Martinique","283",2017-03-23
"17","Mexico","11716",2017-03-23
"18","Costa Rica","3305",2017-03-23
"19","Ireland","4450",2017-03-23
"20","Panama","935",2017-03-23
"21","Maldives","581",2017-03-23
"22","Italy","136066",2017-03-23
"23","Saint Martin","294",2017-03-23
"24","Israel","3037",2017-03-23
"25","Guyana","26",2017-03-23
"26","India","25921",2017-03-23
"27","Cayman Islands","90",2017-03-23
"28","Guadeloupe","620",2017-03-23
"29","Germany","45817",2017-03-23
"30","U.S. Virgin Islands (US Virgin Is) hotels","207",2017-03-23
"31","Malta","1110",2017-03-23
"32","Denmark","23314",2017-03-23
"33","Saint Lucia","164",2017-03-23
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","141",2017-03-23
"35","New Zealand","5083",2017-03-23
"36","Dominican Republic (Dominican Rep) hotels","1579",2017-03-23
"37","Belize","461",2017-03-23
"38","Japan","11784",2017-03-23
"39","Monaco","29",2017-03-23
"40","Macau","67",2017-03-23
"41","South Korea","4710",2017-03-23
"42","Greenland","24",2017-03-23
"43","Curaçao","377",2017-03-23
"44","Philippines","3623",2017-03-23
"45","Ghana","749",2017-03-23
"46","Belgium","7229",2017-03-23
"47","Greece","25932",2017-03-23
"48","Finland","2659",2017-03-23
"49","Australia","16399",2017-03-23
"50","Turkey","14849",2017-03-23
"51","Fiji","212",2017-03-23
"52","Nigeria","836",2017-03-23
"53","France","73041",2017-03-23
"54","Peru","4624",2017-03-23
"55","Dominica","112",2017-03-23
"56","Austria","24479",2017-03-23
"57","Seychelles","455",2017-03-23
"58","Bahrain","156",2017-03-23
"59","Sweden","6948",2017-03-23
"60","Oman","312",2017-03-23
"61","Croatia","67485",2017-03-23
"62","Tanzania","1378",2017-03-23
"63","Colombia","7413",2017-03-23
"64","Solomon Islands (Solomon Is) hotels","22",2017-03-23
"65","Argentina","11260",2017-03-23
"66","St. Maarten","186",2017-03-23
"67","Luxembourg","319",2017-03-23
"68","Armenia","1292",2017-03-23
"69","Portugal","19784",2017-03-23
"70","Mauritius","1033",2017-03-23
"71","Malaysia","6067",2017-03-23
"72","Gambia","99",2017-03-23
"73","Tonga","60",2017-03-23
"74","Thailand","18499",2017-03-23
"75","Iraq","92",2017-03-23
"76","Norway","4271",2017-03-23
"77","Liechtenstein","37",2017-03-23
"78","Egypt","1472",2017-03-23
"79","South Africa","11107",2017-03-23
"80","Samoa","68",2017-03-23
"81","Qatar","126",2017-03-23
"82","New Caledonia","43",2017-03-23
"83","Ethiopia","391",2017-03-23
"84","Taiwan","5139",2017-03-23
"85","Switzerland","10986",2017-03-23
"86","Slovenia","3283",2017-03-23
"87","Spain","64368",2017-03-23
"88","Guatemala","685",2017-03-23
"89","Ecuador","2287",2017-03-23
"90","Jordan","528",2017-03-23
"91","Chile","8698",2017-03-23
"92","Cyprus","3627",2017-03-23
"93","Tunisia","638",2017-03-23
"94","Nicaragua","758",2017-03-23
"95","United Arab Emirates (U.A. Emirates) hotels","1620",2017-03-23
"96","Faroe Islands","33",2017-03-23
"97","El Salvador","228",2017-03-23
"98","Anguilla","56",2017-03-23
"99","Sri Lanka","8019",2017-03-23
"100","China","47324",2017-03-23
"101","Azerbaijan","616",2017-03-23
"102","Poland","22502",2017-03-23
"103","Andorra","478",2017-03-23
"104","Montenegro","5098",2017-03-23
"105","Vanuatu","156",2017-03-23
"106","Saudi Arabia","2284",2017-03-23
"107","Hungary","11065",2017-03-23
"108","Albania","1741",2017-03-23
"109","Uruguay","1887",2017-03-23
"110","Ukraine","6434",2017-03-23
"111","Rwanda","222",2017-03-23
"112","Netherlands","10767",2017-03-23
"113","Kenya","1857",2017-03-23
"114","Brunei (Brunei D.) hotels","31",2017-03-23
"115","Senegal","437",2017-03-23
"116","Kuwait","129",2017-03-23
"117","Cape Verde","420",2017-03-23
"118","Bolivia","571",2017-03-23
"119","Benin","112",2017-03-23
"120","Russia (Russian Fed.) hotels","37099",2017-03-23
"121","Niue","7",2017-03-23
"122","Mozambique","196",2017-03-23
"123","Morocco","4843",2017-03-23
"124","Madagascar","311",2017-03-23
"125","Lithuania","2927",2017-03-23
"126","Indonesia","12500",2017-03-23
"127","Czech Republic (Czech Rep.) hotels","11231",2017-03-23
"128","Cook Islands","168",2017-03-23
"129","San Marino","32",2017-03-23
"130","Pakistan","278",2017-03-23
"131","Moldova","380",2017-03-23
"132","Micronesia","5",2017-03-23
"133","Bulgaria","8224",2017-03-23
"134","Romania","8756",2017-03-23
"135","Guinea","19",2017-03-23
"136","French Polynesia (Fr Polynesia) hotels","266",2017-03-23
"137","Vietnam","7580",2017-03-23
"138","Venezuela","36",2017-03-23
"139","Suriname","105",2017-03-23
"140","Paraguay","217",2017-03-23
"141","Laos","934",2017-03-23
"142","Gabon","38",2017-03-23
"143","Estonia","2543",2017-03-23
"144","Belarus","2560",2017-03-23
"145","Angola","93",2017-03-23
"146","Swaziland","34",2017-03-23
"147","Slovakia","4009",2017-03-23
"148","Papua New Guinea (Pap New Guinea) hotels","44",2017-03-23
"149","Northern Mariana Islands (N Mariana Is) hotels","43",2017-03-23
"150","Mongolia","159",2017-03-23
"151","Mauritania","51",2017-03-23
"152","Honduras","492",2017-03-23
"153","French Guiana","31",2017-03-23
"154","Cameroon","189",2017-03-23
"155","Bosnia and Herzegovina (Bosnia Herz) hotels","2470",2017-03-23
"156","Bhutan","58",2017-03-23
"157","Crimea","4650",2017-03-23
"158","Tajikistan","80",2017-03-23
"159","Reunion","349",2017-03-23
"160","Malawi","80",2017-03-23
"161","Kyrgyzstan","503",2017-03-23
"162","Guinea-Bissau","4",2017-03-23
"163","Cambodia","2415",2017-03-23
"164","Botswana","186",2017-03-23
"165","Kosovo","127",2017-03-23
